program_a,program_b,shared_genes,jaccard
mitochondrial_expression,mitochondrial_expression,173,1.0
mitochondrial_expression,dna_repair,4,0.013114754098360656
mitochondrial_expression,oxidative_stress,4,0.018867924528301886
mitochondrial_expression,inflammatory_signaling,0,0.0
mitochondrial_expression,proteostasis,1,0.0036496350364963502
mitochondrial_expression,muscle_remodeling,1,0.0027624309392265192
dna_repair,mitochondrial_expression,4,0.013114754098360656
dna_repair,dna_repair,136,1.0
dna_repair,oxidative_stress,2,0.011299435028248588
dna_repair,inflammatory_signaling,1,0.0031446540880503146
dna_repair,proteostasis,0,0.0
dna_repair,muscle_remodeling,1,0.003076923076923077
oxidative_stress,mitochondrial_expression,4,0.018867924528301886
oxidative_stress,dna_repair,2,0.011299435028248588
oxidative_stress,oxidative_stress,43,1.0
oxidative_stress,inflammatory_signaling,1,0.0044444444444444444
oxidative_stress,proteostasis,0,0.0
oxidative_stress,muscle_remodeling,4,0.017467248908296942
inflammatory_signaling,mitochondrial_expression,0,0.0
inflammatory_signaling,dna_repair,1,0.0031446540880503146
inflammatory_signaling,oxidative_stress,1,0.0044444444444444444
inflammatory_signaling,inflammatory_signaling,183,1.0
inflammatory_signaling,proteostasis,4,0.014234875444839857
inflammatory_signaling,muscle_remodeling,5,0.01358695652173913
proteostasis,mitochondrial_expression,1,0.0036496350364963502
proteostasis,dna_repair,0,0.0
proteostasis,oxidative_stress,0,0.0
proteostasis,inflammatory_signaling,4,0.014234875444839857
proteostasis,proteostasis,102,1.0
proteostasis,muscle_remodeling,2,0.006896551724137931
muscle_remodeling,mitochondrial_expression,1,0.0027624309392265192
muscle_remodeling,dna_repair,1,0.003076923076923077
muscle_remodeling,oxidative_stress,4,0.017467248908296942
muscle_remodeling,inflammatory_signaling,5,0.01358695652173913
muscle_remodeling,proteostasis,2,0.006896551724137931
muscle_remodeling,muscle_remodeling,190,1.0
