model,training_pool,reference,program,response_attribution_gap,flight_ground_mean_log1p_TPM_difference
bridge,OS,training_all_mean_TPM,mitochondrial_expression,-0.11353091693236349,0.15825176239013672
bridge,OS,training_all_mean_TPM,dna_repair,-0.1298682399459992,0.10165905952453613
bridge,OS,training_all_mean_TPM,oxidative_stress,0.026160980616588697,0.008076667785644531
bridge,OS,training_all_mean_TPM,inflammatory_signaling,0.08620400954145965,-0.14568829536437988
bridge,OS,training_all_mean_TPM,proteostasis,0.06308269764321456,0.031502485275268555
bridge,OS,training_all_mean_TPM,muscle_remodeling,0.5833286919692069,-0.004673480987548828
bridge,OS,training_ground_mean_TPM,mitochondrial_expression,-0.11624317030982415,0.15825176239013672
bridge,OS,training_ground_mean_TPM,dna_repair,-0.12856508541121234,0.10165905952453613
bridge,OS,training_ground_mean_TPM,oxidative_stress,0.025335229907970998,0.008076667785644531
bridge,OS,training_ground_mean_TPM,inflammatory_signaling,0.09985413014734874,-0.14568829536437988
bridge,OS,training_ground_mean_TPM,proteostasis,0.06546498734494227,0.031502485275268555
bridge,OS,training_ground_mean_TPM,muscle_remodeling,0.5813142012438979,-0.004673480987548828
bridge,YA,training_all_mean_TPM,mitochondrial_expression,-0.027008181816878862,0.17782211303710938
bridge,YA,training_all_mean_TPM,dna_repair,0.09173053102794504,0.17279458045959473
bridge,YA,training_all_mean_TPM,oxidative_stress,0.058847440739514915,0.1027071475982666
bridge,YA,training_all_mean_TPM,inflammatory_signaling,0.17519241440768635,0.11633706092834473
bridge,YA,training_all_mean_TPM,proteostasis,0.029967804029750494,0.17801976203918457
bridge,YA,training_all_mean_TPM,muscle_remodeling,0.7675491491670496,0.1416492462158203
bridge,YA,training_ground_mean_TPM,mitochondrial_expression,-0.02274360724455418,0.17782211303710938
bridge,YA,training_ground_mean_TPM,dna_repair,0.0918699230922076,0.17279458045959473
bridge,YA,training_ground_mean_TPM,oxidative_stress,0.06006702125491989,0.1027071475982666
bridge,YA,training_ground_mean_TPM,inflammatory_signaling,0.16302213955706107,0.11633706092834473
bridge,YA,training_ground_mean_TPM,proteostasis,0.027692511209592735,0.17801976203918457
bridge,YA,training_ground_mean_TPM,muscle_remodeling,0.7685803987791643,0.1416492462158203
expression,OS,training_all_mean_TPM,mitochondrial_expression,0.22443495069815206,0.15825176239013672
expression,OS,training_all_mean_TPM,dna_repair,0.11352952572875168,0.10165905952453613
expression,OS,training_all_mean_TPM,oxidative_stress,0.042803067022138035,0.008076667785644531
expression,OS,training_all_mean_TPM,inflammatory_signaling,0.1244856724301023,-0.14568829536437988
expression,OS,training_all_mean_TPM,proteostasis,0.05787961582634287,0.031502485275268555
expression,OS,training_all_mean_TPM,muscle_remodeling,0.17332889363431145,-0.004673480987548828
expression,OS,training_ground_mean_TPM,mitochondrial_expression,0.2244349506981521,0.15825176239013672
expression,OS,training_ground_mean_TPM,dna_repair,0.11352952572875158,0.10165905952453613
expression,OS,training_ground_mean_TPM,oxidative_stress,0.04280306702213802,0.008076667785644531
expression,OS,training_ground_mean_TPM,inflammatory_signaling,0.1244856724301022,-0.14568829536437988
expression,OS,training_ground_mean_TPM,proteostasis,0.05787961582634281,0.031502485275268555
expression,OS,training_ground_mean_TPM,muscle_remodeling,0.17332889363431142,-0.004673480987548828
expression,YA,training_all_mean_TPM,mitochondrial_expression,0.25830028808670835,0.17782211303710938
expression,YA,training_all_mean_TPM,dna_repair,0.12475629733491786,0.17279458045959473
expression,YA,training_all_mean_TPM,oxidative_stress,0.03956554550421496,0.1027071475982666
expression,YA,training_all_mean_TPM,inflammatory_signaling,0.03431481871034295,0.11633706092834473
expression,YA,training_all_mean_TPM,proteostasis,0.11182148522247926,0.17801976203918457
expression,YA,training_all_mean_TPM,muscle_remodeling,0.22136886097315017,0.1416492462158203
expression,YA,training_ground_mean_TPM,mitochondrial_expression,0.25830028808670824,0.17782211303710938
expression,YA,training_ground_mean_TPM,dna_repair,0.12475629733491785,0.17279458045959473
expression,YA,training_ground_mean_TPM,oxidative_stress,0.03956554550421494,0.1027071475982666
expression,YA,training_ground_mean_TPM,inflammatory_signaling,0.03431481871034295,0.11633706092834473
expression,YA,training_ground_mean_TPM,proteostasis,0.11182148522247923,0.17801976203918457
expression,YA,training_ground_mean_TPM,muscle_remodeling,0.22136886097315017,0.1416492462158203
