model,training_pool,reference,program,renormalized,omitted_id,gap_removed,retains_full_sign
bridge,YA,training_ground_mean_TPM,mitochondrial_expression,False,GSE298393:GSM9013398,0.01209411516560982,False
bridge,YA,training_ground_mean_TPM,mitochondrial_expression,False,GSE298393:GSM9013399,-0.011892936271578933,True
bridge,YA,training_ground_mean_TPM,mitochondrial_expression,False,GSE298393:GSM9013400,-0.029021831708860177,True
bridge,YA,training_ground_mean_TPM,mitochondrial_expression,False,GSE298393:GSM9013410,-0.05623989702890714,True
bridge,YA,training_ground_mean_TPM,mitochondrial_expression,False,GSE298393:GSM9013411,-0.02929491206233098,True
bridge,YA,training_ground_mean_TPM,mitochondrial_expression,False,GSE298393:GSM9013412,0.05671415627640881,False
bridge,YA,training_ground_mean_TPM,mitochondrial_expression,True,GSE298393:GSM9013398,-0.10614851936994299,True
bridge,YA,training_ground_mean_TPM,mitochondrial_expression,True,GSE298393:GSM9013399,-0.16355604105429689,True
bridge,YA,training_ground_mean_TPM,mitochondrial_expression,True,GSE298393:GSM9013400,-0.1881528933452803,True
bridge,YA,training_ground_mean_TPM,mitochondrial_expression,True,GSE298393:GSM9013410,-0.17969589709059614,True
bridge,YA,training_ground_mean_TPM,mitochondrial_expression,True,GSE298393:GSM9013411,-0.19608308643887534,True
bridge,YA,training_ground_mean_TPM,mitochondrial_expression,True,GSE298393:GSM9013412,-0.08207847024004873,True
bridge,YA,training_ground_mean_TPM,dna_repair,False,GSE298393:GSM9013398,0.0482733012846287,True
bridge,YA,training_ground_mean_TPM,dna_repair,False,GSE298393:GSM9013399,0.06580342289267566,True
bridge,YA,training_ground_mean_TPM,dna_repair,False,GSE298393:GSM9013400,0.1061671613192251,True
bridge,YA,training_ground_mean_TPM,dna_repair,False,GSE298393:GSM9013410,0.0647431213558321,True
bridge,YA,training_ground_mean_TPM,dna_repair,False,GSE298393:GSM9013411,0.07537360065884974,True
bridge,YA,training_ground_mean_TPM,dna_repair,False,GSE298393:GSM9013412,0.08012716348184773,True
bridge,YA,training_ground_mean_TPM,dna_repair,True,GSE298393:GSM9013398,0.049091940524438826,True
bridge,YA,training_ground_mean_TPM,dna_repair,True,GSE298393:GSM9013399,0.05297577696349737,True
bridge,YA,training_ground_mean_TPM,dna_repair,True,GSE298393:GSM9013400,0.09504341935026633,True
bridge,YA,training_ground_mean_TPM,dna_repair,True,GSE298393:GSM9013410,0.06259918481775154,True
bridge,YA,training_ground_mean_TPM,dna_repair,True,GSE298393:GSM9013411,0.06012993735070418,True
bridge,YA,training_ground_mean_TPM,dna_repair,True,GSE298393:GSM9013412,0.07438201466974684,True
bridge,YA,training_ground_mean_TPM,oxidative_stress,False,GSE298393:GSM9013398,0.05501343625489125,True
bridge,YA,training_ground_mean_TPM,oxidative_stress,False,GSE298393:GSM9013399,0.0524062490940575,True
bridge,YA,training_ground_mean_TPM,oxidative_stress,False,GSE298393:GSM9013400,0.047321109267424354,True
