training_pool,id,sample_index,label,reference,bridge_logit,reference_logit,expression_logit,expression_reference_logit,prior_logit_error
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,-8.00115624882028,-5.8252854711124655,-6.920472074353384,-8.158741277726996,0.0
YA,GSE298393:GSM9013398,3,0,training_all_mean_TPM,-8.00115624882028,0.578058347870865,-6.920472074353384,0.15339485053087998,0.0
YA,GSE298393:GSM9013399,4,0,training_ground_mean_TPM,-7.9395265200616905,-5.8252854711124655,-6.687521187378152,-8.158741277726996,8.881784197001252e-16
YA,GSE298393:GSM9013399,4,0,training_all_mean_TPM,-7.9395265200616905,0.578058347870865,-6.687521187378152,0.15339485053087998,8.881784197001252e-16
YA,GSE298393:GSM9013400,5,0,training_ground_mean_TPM,-6.589320700087228,-5.8252854711124655,-6.288481223500632,-8.158741277726996,0.0
YA,GSE298393:GSM9013400,5,0,training_all_mean_TPM,-6.589320700087228,0.578058347870865,-6.288481223500632,0.15339485053087998,0.0
YA,GSE298393:GSM9013410,9,1,training_ground_mean_TPM,5.627726680844717,-5.8252854711124655,5.335585892363888,-8.158741277726996,0.0
YA,GSE298393:GSM9013410,9,1,training_all_mean_TPM,5.627726680844717,0.578058347870865,5.335585892363888,0.15339485053087998,0.0
YA,GSE298393:GSM9013411,10,1,training_ground_mean_TPM,4.17448563083849,-5.8252854711124655,4.171988803695498,-8.158741277726996,0.0
YA,GSE298393:GSM9013411,10,1,training_all_mean_TPM,4.17448563083849,0.578058347870865,4.171988803695498,0.15339485053087998,0.0
YA,GSE298393:GSM9013412,11,1,training_ground_mean_TPM,5.029497020792178,-5.8252854711124655,4.69659839362518,-8.158741277726996,0.0
YA,GSE298393:GSM9013412,11,1,training_all_mean_TPM,5.029497020792178,0.578058347870865,4.69659839362518,0.15339485053087998,0.0
OS,GSE298393:GSM9013395,0,0,training_ground_mean_TPM,-0.8235112164181828,-6.640744805322811,0.5127607207864173,-8.380668798113405,0.0
OS,GSE298393:GSM9013395,0,0,training_all_mean_TPM,-0.8235112164181828,0.47845075370196355,0.5127607207864173,0.5577800263827584,0.0
OS,GSE298393:GSM9013396,1,0,training_ground_mean_TPM,-0.8807439243068984,-6.640744805322811,2.135281690405691,-8.380668798113405,0.0
OS,GSE298393:GSM9013396,1,0,training_all_mean_TPM,-0.8807439243068984,0.47845075370196355,2.135281690405691,0.5577800263827584,0.0
OS,GSE298393:GSM9013397,2,0,training_ground_mean_TPM,-4.074472762270943,-6.640744805322811,-2.882392952574719,-8.380668798113405,0.0
OS,GSE298393:GSM9013397,2,0,training_all_mean_TPM,-4.074472762270943,0.47845075370196355,-2.882392952574719,0.5577800263827584,0.0
OS,GSE298393:GSM9013404,6,1,training_ground_mean_TPM,7.981256567613627,-6.640744805322811,7.942061120452095,-8.380668798113405,0.0
OS,GSE298393:GSM9013404,6,1,training_all_mean_TPM,7.981256567613627,0.47845075370196355,7.942061120452095,0.5577800263827584,0.0
OS,GSE298393:GSM9013405,7,1,training_ground_mean_TPM,6.288171197290694,-6.640744805322811,7.630898425742714,-8.380668798113405,0.0
OS,GSE298393:GSM9013405,7,1,training_all_mean_TPM,6.288171197290694,0.47845075370196355,7.630898425742714,0.5577800263827584,0.0
OS,GSE298393:GSM9013406,8,1,training_ground_mean_TPM,10.750437858640908,-6.640744805322811,11.488134996323751,-8.380668798113405,0.0
OS,GSE298393:GSM9013406,8,1,training_all_mean_TPM,10.750437858640908,0.47845075370196355,11.488134996323751,0.5577800263827584,0.0
