gene,stable_id,entrez_id,common_observed
A1CF,ENSG00000148584,29974,True
A2M,ENSG00000175899,2,True
A3GALT2,ENSG00000184389,127550,True
A4GALT,ENSG00000128274,53947,True
A4GNT,ENSG00000118017,51146,True
AAAS,ENSG00000094914,8086,True
AACS,ENSG00000081760,65985,True
AADAC,ENSG00000114771,13,True
AADACL2,ENSG00000197953,344752,True
AADACL3,ENSG00000188984,126767,True
AADAT,ENSG00000109576,51166,True
AAGAB,ENSG00000103591,79719,True
AAK1,ENSG00000115977,22848,True
AAMDC,ENSG00000087884,28971,True
AAMP,ENSG00000127837,14,True
AANAT,ENSG00000129673,15,True
AAR2,ENSG00000131043,25980,True
AARD,ENSG00000205002,441376,True
AARS2,ENSG00000124608,57505,True
AARSD1,ENSG00000266967,80755,True
AASDH,ENSG00000157426,132949,True
AASDHPPT,ENSG00000149313,60496,True
AASS,ENSG00000008311,10157,True
AATF,ENSG00000275700,26574,True
AATK,ENSG00000181409,9625,True
ABAT,ENSG00000183044,18,True
ABCA1,ENSG00000165029,19,True
ABCA12,ENSG00000144452,26154,True
ABCA13,ENSG00000179869,154664,True
ABCA2,ENSG00000107331,20,True
ABCA3,ENSG00000167972,21,True
ABCA4,ENSG00000198691,24,True
ABCA5,ENSG00000154265,23461,True
ABCA6,ENSG00000154262,23460,True
ABCA7,ENSG00000064687,10347,True
ABCA8,ENSG00000141338,10351,True
ABCA9,ENSG00000154258,10350,True
ABCB10,ENSG00000135776,23456,True
ABCB11,ENSG00000073734,8647,True
ABCB4,ENSG00000005471,5244,True
ABCB5,ENSG00000004846,340273,True
ABCB6,ENSG00000115657,10058,True
ABCB7,ENSG00000131269,22,True
ABCB8,ENSG00000197150,11194,True
ABCB9,ENSG00000150967,23457,True
ABCC1,ENSG00000103222,4363,True
ABCC10,ENSG00000124574,89845,True
ABCC12,ENSG00000140798,94160,True
ABCC2,ENSG00000023839,1244,True
ABCC3,ENSG00000108846,8714,True
ABCC4,ENSG00000125257,10257,True
ABCC5,ENSG00000114770,10057,True
ABCC6,ENSG00000091262,368,True
ABCC8,ENSG00000006071,6833,True
ABCC9,ENSG00000069431,10060,True
ABCD1,ENSG00000101986,215,True
ABCD2,ENSG00000173208,225,True
ABCD3,ENSG00000117528,5825,True
ABCD4,ENSG00000119688,5826,True
ABCE1,ENSG00000164163,6059,True
ABCF1,ENSG00000204574,23,True
ABCF2,ENSG00000033050,10061,True
ABCF3,ENSG00000161204,55324,True
ABCG1,ENSG00000160179,9619,True
ABCG4,ENSG00000172350,64137,True
ABCG5,ENSG00000138075,64240,True
ABCG8,ENSG00000143921,64241,True
ABHD1,ENSG00000143994,84696,True
ABHD10,ENSG00000144827,55347,True
ABHD11,ENSG00000106077,83451,True
ABHD12,ENSG00000100997,26090,True
ABHD12B,ENSG00000131969,145447,True
ABHD13,ENSG00000139826,84945,True
ABHD14A,ENSG00000248487,25864,True
ABHD14B,ENSG00000114779,84836,True
ABHD15,ENSG00000168792,116236,True
ABHD16A,ENSG00000204427,7920,True
ABHD16B,ENSG00000183260,140701,True
ABHD17A,ENSG00000129968,81926,True
ABHD17B,ENSG00000107362,51104,True
ABHD17C,ENSG00000136379,58489,True
ABHD18,ENSG00000164074,80167,True
ABHD2,ENSG00000140526,11057,True
ABHD3,ENSG00000158201,171586,True
ABHD4,ENSG00000100439,63874,True
ABHD5,ENSG00000011198,51099,True
ABHD6,ENSG00000163686,57406,True
ABHD8,ENSG00000127220,79575,True
ABI1,ENSG00000136754,10006,True
ABI2,ENSG00000138443,10152,True
ABI3,ENSG00000108798,51225,True
ABI3BP,ENSG00000154175,25890,True
ABITRAM,ENSG00000119328,54942,True
ABL1,ENSG00000097007,25,True
ABL2,ENSG00000143322,27,True
ABLIM1,ENSG00000099204,3983,True
ABLIM2,ENSG00000163995,84448,True
ABLIM3,ENSG00000173210,22885,True
ABO,ENSG00000175164,28,True
ABR,ENSG00000159842,29,True
ABRA,ENSG00000174429,137735,True
ABRACL,ENSG00000146386,58527,True
ABRAXAS1,ENSG00000163322,84142,True
ABRAXAS2,ENSG00000165660,23172,True
ABT1,ENSG00000146109,29777,True
ABTB1,ENSG00000114626,80325,True
ABTB2,ENSG00000166016,25841,True
ACAA2,ENSG00000167315,10449,True
ACACA,ENSG00000278540,31,True
ACACB,ENSG00000076555,32,True
ACAD11,ENSG00000240303,84129,True
ACAD8,ENSG00000151498,27034,True
ACAD9,ENSG00000177646,28976,True
ACADL,ENSG00000115361,33,True
ACADM,ENSG00000117054,34,True
ACADS,ENSG00000122971,35,True
ACADSB,ENSG00000196177,36,True
ACADVL,ENSG00000072778,37,True
ACAN,ENSG00000157766,176,True
ACAP1,ENSG00000072818,9744,True
ACAP2,ENSG00000114331,23527,True
ACAP3,ENSG00000131584,116983,True
ACAT1,ENSG00000075239,38,True
ACBD3,ENSG00000182827,64746,True
ACBD4,ENSG00000181513,79777,True
ACBD5,ENSG00000107897,91452,True
ACBD6,ENSG00000230124,84320,True
ACBD7,ENSG00000176244,414149,True
ACCS,ENSG00000110455,84680,True
ACCSL,ENSG00000205126,390110,True
ACD,ENSG00000102977,65057,True
ACE,ENSG00000159640,1636,True
ACE2,ENSG00000130234,59272,True
ACER1,ENSG00000167769,125981,True
ACER2,ENSG00000177076,340485,True
