model,context,calibration,evaluation,auroc,balanced_accuracy,n,TP,TN,FP,FN,mean_positive_logit,mean_negative_logit
ncbi__bridge__hard_negative__absolute,GSE111437|NCBI_gene_counts|IMR90|24h,0,new_2Gy_challenge,0.888888888888889,0.6666666666666666,6,1,3,0,2,-0.9394882869217197,-2.589129988988791
ncbi__bridge__hard_negative__absolute,GSE111437|NCBI_gene_counts|IMR90|6h,0,new_2Gy_challenge,0.6666666666666667,0.8333333333333333,6,3,2,1,0,1.1906940026366841,-0.9033036424106231
ncbi__bridge__hard_negative__absolute,GSE230181|BFX01_expr.txt|IMR90|A,0,held_file,1.0,1.0,9,4,5,0,0,9.746895424110505,-9.751189265190764
ncbi__bridge__hard_negative__absolute,GSE230181|BFX02_expr.txt|IMR90|E,0,held_file,1.0,0.6666666666666666,6,3,1,2,0,11.758014430823158,1.4270781676704065
ncbi__bridge__hard_negative__absolute,GSE230181|BFX17_expr.txt|ADSC|ADSC,0,other_cell_held_file,1.0,1.0,5,2,3,0,0,17.720101445431432,-0.8474829147216317
ncbi__bridge__hard_negative__absolute,GSE230181|BFX17_expr.txt|HMVEC|HMVEC,0,other_cell_held_file,1.0,0.5,6,0,3,0,3,-9.318504101010618,-13.333376924693448
ncbi__bridge__hard_negative__absolute,GSE230181|BFX17_expr.txt|HUVEC|HUVEC,0,other_cell_held_file,1.0,0.5,5,0,2,0,3,-13.505077555252754,-21.593882332508016
ncbi__bridge__hard_negative__absolute,GSE230181|BFX17_expr.txt|IMR90|B,0,held_file,1.0,1.0,5,3,2,0,0,9.54002309764808,-3.8479853169718363
ncbi__bridge__hard_negative__absolute,GSE230181|BFX17_expr.txt|IMR90|C,0,held_file,1.0,1.0,6,3,3,0,0,10.325520353371193,-12.840906339059288
ncbi__bridge__hard_negative__absolute,GSE230181|BFX17_expr.txt|RPTEC|RPTEC,0,other_cell_held_file,1.0,0.5,6,3,0,3,0,23.155367949098792,2.6755418150468735
ncbi__bridge__hard_negative__absolute,GSE230181|BFX36_expr.txt|IMR90|D,0,held_file,1.0,1.0,9,4,5,0,0,11.150592594475203,-11.023878408176973
ncbi__bridge__hard_negative__absolute,GSE242706|NCBI_gene_counts|Lung endothelium|Lung endothelium_6h,0,lung_development,0.3125,0.5,8,4,0,4,0,25.49152331397732,29.217938410757977
ncbi__bridge__hard_negative__absolute,GSE242706|NCBI_gene_counts|Lung endothelium|Lung endothelium_7d,0,lung_development,0.0,0.5,8,4,0,4,0,9.894874579204542,25.409043040395847
