model,context,calibration,auroc,balanced_accuracy,n,TP,TN,FP,FN,mean_positive_logit,mean_negative_logit
ncbi__bridge__hard_negative__absolute,GSE242706|NCBI_gene_counts|Lung endothelium|Lung endothelium_6h,0,0.3333333333333333,0.5,7,4,0,3,0,25.49152331397732,28.28389161433432
ncbi__bridge__hard_negative__absolute,GSE242706|NCBI_gene_counts|Lung endothelium|Lung endothelium_7d,0,0.0,0.5,7,4,0,3,0,9.894874579204542,25.15255382838004
ncbi__bridge__hard_negative__absolute,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_6h,0,0.1875,0.5,8,4,0,4,0,31.99618068584125,34.193211584295646
ncbi__bridge__hard_negative__absolute,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_7d,0,0.0,0.5,8,4,0,4,0,31.392468689960317,34.07597791330635
ncbi__bridge__hard_negative__matched_control,GSE242706|NCBI_gene_counts|Lung endothelium|Lung endothelium_6h,3,1.0,0.5,5,0,1,0,4,-7.476952557507533,-13.311890431931047
ncbi__bridge__hard_negative__matched_control,GSE242706|NCBI_gene_counts|Lung endothelium|Lung endothelium_6h,4,0.5,0.5,5,0,1,0,4,-4.117327080849357,-3.233014001956501
ncbi__bridge__hard_negative__matched_control,GSE242706|NCBI_gene_counts|Lung endothelium|Lung endothelium_6h,5,0.5,0.5,5,0,1,0,4,-4.5890346024067155,-4.648136566628577
ncbi__bridge__hard_negative__matched_control,GSE242706|NCBI_gene_counts|Lung endothelium|Lung endothelium_7d,3,1.0,0.5,5,0,1,0,4,-7.6145682870691545,-9.426796021305991
ncbi__bridge__hard_negative__matched_control,GSE242706|NCBI_gene_counts|Lung endothelium|Lung endothelium_7d,4,0.0,0.5,5,0,1,0,4,-5.2816343921387485,-2.4279943365147765
ncbi__bridge__hard_negative__matched_control,GSE242706|NCBI_gene_counts|Lung endothelium|Lung endothelium_7d,5,1.0,0.5,5,0,1,0,4,-7.585053160865609,-9.33825064269534
ncbi__bridge__hard_negative__matched_control,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_6h,0,0.75,0.5,6,0,2,0,4,-6.0861346331467745,-8.446826285280192
ncbi__bridge__hard_negative__matched_control,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_6h,1,0.75,0.5,6,0,2,0,4,-6.063519470815465,-8.401595960617552
ncbi__bridge__hard_negative__matched_control,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_6h,2,0.5,0.5,6,0,2,0,4,-4.647187990292913,-5.568932999572464
