id,condition,spearman_expression,mean_abs_log1p_difference
GSE230181:GSM7191281,irradiated,0.9524892462249374,0.39162829518318176
GSE230181:GSM7191282,irradiated,0.9536327486283224,0.3882681429386139
GSE230181:GSM7191284,irradiated,0.9529310436879415,0.39024385809898376
GSE230181:GSM7191285,irradiated,0.9525464034780579,0.39387741684913635
GSE230181:GSM7191286,irradiated,0.9615229522743441,0.3507116436958313
GSE230181:GSM7191287,irradiated,0.9620614813705,0.34998539090156555
GSE230181:GSM7191288,irradiated,0.9615967712704294,0.35053935647010803
GSE230181:GSM7191289,irradiated,0.9610402993447852,0.3501230478286743
GSE230181:GSM7191290,irradiated,0.9630599230714134,0.3455585837364197
GSE230181:GSM7191291,irradiated,0.9634149611171445,0.34821343421936035
GSE230181:GSM7191292,irradiated,0.9575384706793623,0.3608444333076477
GSE230181:GSM7191293,irradiated,0.9572730876953118,0.358165979385376
GSE230181:GSM7191295,irradiated,0.9573763171534975,0.3574784994125366
GSE230181:GSM7191296,irradiated,0.957319214318058,0.3597467243671417
GSE230181:GSM7191297,irradiated,0.9579607376051879,0.36188775300979614
GSE230181:GSM7191298,irradiated,0.960702674776458,0.3558945655822754
GSE230181:GSM7191299,irradiated,0.9595715213265222,0.35748735070228577
GSE230181:GSM7191300,ras_induction,0.9577785867760364,0.37656882405281067
GSE230181:GSM7191301,ras_induction,0.9603179287155432,0.36761149764060974
GSE230181:GSM7191302,ras_induction,0.9586799520192778,0.3731082081794739
GSE230181:GSM7191303,bleomycin,0.9567122561364121,0.3547397255897522
GSE230181:GSM7191304,bleomycin,0.9576148962661778,0.3541252315044403
GSE230181:GSM7191305,bleomycin,0.9564385525125725,0.3564266264438629
GSE230181:GSM7191306,bleomycin,0.9560797719391063,0.355858713388443
GSE230181:GSM7191307,bleomycin,0.9548929778655575,0.35819464921951294
GSE230181:GSM7191308,rotenone,0.9579791485466079,0.35225608944892883
GSE230181:GSM7191309,rotenone,0.9578009158719428,0.35278668999671936
GSE230181:GSM7191310,rotenone,0.9569805937986401,0.35422685742378235
GSE230181:GSM7191311,antimycin,0.956364380220755,0.3545941710472107
GSE230181:GSM7191312,antimycin,0.95550492707437,0.35675233602523804
GSE230181:GSM7191313,antimycin,0.9557764151077595,0.35575029253959656
GSE230181:GSM7191314,antimycin,0.9557592470107644,0.354466050863266
GSE230181:GSM7191315,antimycin,0.9563566213814252,0.3540562689304352
GSE230181:GSM7191316,oligomycin,0.9579330986818988,0.3496779203414917
GSE230181:GSM7191317,oligomycin,0.9590599390325163,0.34571850299835205
GSE230181:GSM7191318,oligomycin,0.9580846720078494,0.3478677272796631
GSE230181:GSM7191319,oligomycin,0.9581599692075781,0.3475484251976013
GSE230181:GSM7191320,oligomycin,0.9581707036363465,0.34657540917396545
GSE230181:GSM7191321,control,0.9498789774709512,0.3969055712223053
GSE230181:GSM7191322,control,0.9496357138417338,0.39970552921295166
GSE230181:GSM7191323,control,0.9504114683943826,0.3967996835708618
GSE230181:GSM7191324,control,0.9493772217258059,0.40047743916511536
GSE230181:GSM7191325,control,0.9504676465568316,0.39638277888298035
GSE230181:GSM7191326,control,0.9621158483609534,0.34683582186698914
GSE230181:GSM7191327,control,0.9642310020155741,0.34337112307548523
GSE230181:GSM7191329,control,0.9596143963338699,0.34613052010536194
GSE230181:GSM7191330,control,0.9620072529371427,0.34452342987060547
GSE230181:GSM7191331,control,0.9582368155350982,0.346749871969223
GSE230181:GSM7191332,control,0.9540909791176008,0.3569294810295105
GSE230181:GSM7191333,control,0.9533886901130925,0.35759344696998596
GSE230181:GSM7191334,control,0.9537433666526381,0.35645076632499695
GSE230181:GSM7191335,control,0.9542663992182802,0.3544599711894989
GSE230181:GSM7191336,control,0.9545223954978778,0.3548600375652313
GSE230181:GSM7191337,control,0.9538176747711571,0.36761927604675293
GSE230181:GSM7191338,control,0.9597344671610394,0.3559090495109558
GSE230181:GSM7191339,control,0.9585247761500377,0.3585646450519562
GSE230181:GSM7191340,control,0.954327312501362,0.37441378831863403
GSE230181:GSM7191341,control,0.9552180602084881,0.36925289034843445
GSE230181:GSM7191342,control,0.9556638679415606,0.37314924597740173
GSE230181:GSM7191343,vehicle,0.9548940394729422,0.35384035110473633
GSE230181:GSM7191344,vehicle,0.9543336800493946,0.35583043098449707
GSE230181:GSM7191345,vehicle,0.9542807038366273,0.3555712103843689
GSE230181:GSM7191346,vehicle,0.9536852499531641,0.3573368489742279
GSE230181:GSM7191347,vehicle,0.9539709602008146,0.357212632894516
GSE230181:GSM7191348,irradiated,0.9594844816031559,0.34482187032699585
GSE230181:GSM7191349,irradiated,0.9604296774283647,0.3434816002845764
GSE230181:GSM7191351,control,0.9594003944352897,0.345686137676239
GSE230181:GSM7191352,control,0.9596322553305243,0.34742626547813416
GSE230181:GSM7191353,control,0.9585291644913244,0.3465949296951294
GSE230181:GSM7191354,irradiated,0.9619512103533405,0.3523824214935303
GSE230181:GSM7191355,irradiated,0.9603941493614814,0.35690581798553467
GSE230181:GSM7191356,irradiated,0.9597821223557315,0.3559197187423706
