route,feature,omitted_source,study,group,n_train,auroc,balanced_accuracy,n,TP,TN,FP,FN,mean_positive_logit,mean_negative_logit
ncbi,expression,BFX01_expr.txt,GSE111437,24h,26,1.0,0.5,6,0,3,0,3,-2.9352751075335473,-5.416639127591253
ncbi,expression,BFX01_expr.txt,GSE111437,6h,26,0.888888888888889,0.5,6,0,3,0,3,-4.256716192634927,-5.479018264702965
ncbi,expression,BFX01_expr.txt,GSE242706,Lung endothelium_6h,26,0.75,0.5,8,4,0,4,0,18.165685929335616,16.521248507168636
ncbi,expression,BFX01_expr.txt,GSE242706,Lung endothelium_7d,26,1.0,0.5,8,4,0,4,0,31.33846037966812,20.88987551241922
ncbi,expression,BFX01_expr.txt,GSE242706,Lung epithelium_6h,26,0.75,0.5,8,4,0,4,0,17.775757364278544,16.78175785941148
ncbi,expression,BFX01_expr.txt,GSE242706,Lung epithelium_7d,26,0.6875,0.5,8,4,0,4,0,19.441111054850673,18.406345629533085
ncbi,expression,BFX02_expr.txt,GSE111437,24h,29,1.0,0.5,6,0,3,0,3,-2.194666221278015,-4.920934188584564
ncbi,expression,BFX02_expr.txt,GSE111437,6h,29,0.7777777777777779,0.5,6,0,3,0,3,-4.1177488205889405,-5.172661350322506
ncbi,expression,BFX02_expr.txt,GSE242706,Lung endothelium_6h,29,0.6875,0.5,8,4,0,4,0,37.063479324010444,34.76303358151115
ncbi,expression,BFX02_expr.txt,GSE242706,Lung endothelium_7d,29,1.0,0.5,8,4,0,4,0,55.20659171448361,41.566616652823996
ncbi,expression,BFX02_expr.txt,GSE242706,Lung epithelium_6h,29,0.75,0.5,8,4,0,4,0,36.2070481368853,35.07376524677352
ncbi,expression,BFX02_expr.txt,GSE242706,Lung epithelium_7d,29,0.75,0.5,8,4,0,4,0,39.90113966345923,37.71585998008481
ncbi,expression,BFX17_expr.txt,GSE111437,24h,24,1.0,0.5,6,0,3,0,3,-2.5379139679899354,-4.124830036212963
ncbi,expression,BFX17_expr.txt,GSE111437,6h,24,0.888888888888889,0.5,6,0,3,0,3,-2.9656631598994583,-3.7594919121156067
ncbi,expression,BFX17_expr.txt,GSE242706,Lung endothelium_6h,24,0.75,0.5,8,4,0,4,0,17.370585385392168,15.878788227023879
ncbi,expression,BFX17_expr.txt,GSE242706,Lung endothelium_7d,24,1.0,0.5,8,4,0,4,0,27.749074336511807,19.467692717316574
ncbi,expression,BFX17_expr.txt,GSE242706,Lung epithelium_6h,24,0.8125,0.5,8,4,0,4,0,16.59221866139525,15.447372881348366
ncbi,expression,BFX17_expr.txt,GSE242706,Lung epithelium_7d,24,1.0,0.5,8,4,0,4,0,18.610787378110043,16.876269834486152
ncbi,expression,BFX36_expr.txt,GSE111437,24h,26,1.0,0.5,6,0,3,0,3,-1.3990440293382067,-3.8262762653966065
ncbi,expression,BFX36_expr.txt,GSE111437,6h,26,0.888888888888889,0.5,6,0,3,0,3,-2.5897775516171753,-3.723639460664033
ncbi,expression,BFX36_expr.txt,GSE242706,Lung endothelium_6h,26,0.6875,0.5,8,4,0,4,0,23.18269916451009,21.510633683290617
ncbi,expression,BFX36_expr.txt,GSE242706,Lung endothelium_7d,26,1.0,0.5,8,4,0,4,0,36.42617530742503,26.00761890444382
ncbi,expression,BFX36_expr.txt,GSE242706,Lung epithelium_6h,26,0.75,0.5,8,4,0,4,0,22.811691489188096,21.74387261178518
ncbi,expression,BFX36_expr.txt,GSE242706,Lung epithelium_7d,26,0.8125,0.5,8,4,0,4,0,24.603553922870354,23.41236371769883
ncbi,bridge,BFX01_expr.txt,GSE111437,24h,26,1.0,1.0,6,3,3,0,0,3.5546357997254816,-1.3635967607185364
ncbi,bridge,BFX01_expr.txt,GSE111437,6h,26,1.0,0.8333333333333333,6,3,2,1,0,1.3217350928858578,-0.9735313948023706
ncbi,bridge,BFX01_expr.txt,GSE242706,Lung endothelium_6h,26,0.875,0.625,8,1,4,0,3,-1.26782580286441,-7.25880545207833
ncbi,bridge,BFX01_expr.txt,GSE242706,Lung endothelium_7d,26,1.0,0.75,8,4,2,2,0,14.955317826927473,0.44326092460357314
ncbi,bridge,BFX01_expr.txt,GSE242706,Lung epithelium_6h,26,1.0,0.5,8,0,4,0,4,-2.9443356077516216,-7.132371031872933
ncbi,bridge,BFX01_expr.txt,GSE242706,Lung epithelium_7d,26,0.5,0.5,8,0,4,0,4,-4.835396990522702,-5.389178644047415
ncbi,bridge,BFX02_expr.txt,GSE111437,24h,29,1.0,1.0,6,3,3,0,0,5.115452514690751,-0.2624274797281033
ncbi,bridge,BFX02_expr.txt,GSE111437,6h,29,1.0,0.8333333333333333,6,3,2,1,0,1.5323012301538868,-0.5714617468405806
ncbi,bridge,BFX02_expr.txt,GSE242706,Lung endothelium_6h,29,0.8125,0.625,8,1,4,0,3,-7.604256108196089,-13.896459653867588
ncbi,bridge,BFX02_expr.txt,GSE242706,Lung endothelium_7d,29,1.0,1.0,8,4,4,0,0,9.633092583465288,-6.305305112604534
ncbi,bridge,BFX02_expr.txt,GSE242706,Lung epithelium_6h,29,1.0,0.5,8,0,4,0,4,-8.777297832042484,-13.394186010240825
ncbi,bridge,BFX02_expr.txt,GSE242706,Lung epithelium_7d,29,0.5625,0.5,8,0,4,0,4,-11.383058643389475,-11.833870572023987
ncbi,bridge,BFX17_expr.txt,GSE111437,24h,24,1.0,1.0,6,3,3,0,0,0.6862083406977005,-3.7791066758805747
ncbi,bridge,BFX17_expr.txt,GSE111437,6h,24,1.0,0.5,6,0,3,0,3,-1.1725226256655215,-2.9954035014279197
ncbi,bridge,BFX17_expr.txt,GSE242706,Lung endothelium_6h,24,0.875,0.625,8,4,1,3,0,5.432172100298546,1.2751009730973455
ncbi,bridge,BFX17_expr.txt,GSE242706,Lung endothelium_7d,24,1.0,0.5,8,4,0,4,0,14.523156477778887,6.183378576342806
ncbi,bridge,BFX17_expr.txt,GSE242706,Lung epithelium_6h,24,1.0,0.5,8,4,0,4,0,5.264762105744166,2.1257157225834087
ncbi,bridge,BFX17_expr.txt,GSE242706,Lung epithelium_7d,24,0.5625,0.5,8,4,0,4,0,4.437579230520248,3.7322072131135435
ncbi,bridge,BFX36_expr.txt,GSE111437,24h,26,1.0,1.0,6,3,3,0,0,3.6433469100087135,-1.1898453096193815
ncbi,bridge,BFX36_expr.txt,GSE111437,6h,26,1.0,0.8333333333333333,6,3,2,1,0,1.9238419370169948,-0.35437420966138183
ncbi,bridge,BFX36_expr.txt,GSE242706,Lung endothelium_6h,26,0.875,0.75,8,3,3,1,1,5.1643608815051145,-0.02291829574234372
ncbi,bridge,BFX36_expr.txt,GSE242706,Lung endothelium_7d,26,1.0,0.5,8,4,0,4,0,18.44314641398035,6.888982449169712
ncbi,bridge,BFX36_expr.txt,GSE242706,Lung epithelium_6h,26,1.0,0.5,8,4,0,4,0,4.568211106625315,0.6627935971223305
ncbi,bridge,BFX36_expr.txt,GSE242706,Lung epithelium_7d,26,0.5625,0.625,8,4,1,3,0,3.2996545876532046,2.4524927708421953
original,expression,BFX01_expr.txt,GSE111437,24h,26,1.0,0.5,6,0,3,0,3,-3.50922583385529,-6.088078977108066
original,expression,BFX01_expr.txt,GSE111437,6h,26,0.888888888888889,0.5,6,0,3,0,3,-4.775134730302857,-6.083890330248669
