id,biological_id,sample,study,group,condition,label,route,donor,source,original_index,catalog
GSE234465:GSM7469191|original,GSE234465:GSM7469191,GSM7469191,GSE234465,YA,control,0,original,YA,prior_audited_flight_inputs,0,unseen
GSE234465:GSM7469192|original,GSE234465:GSM7469192,GSM7469192,GSE234465,YA,control,0,original,YA,prior_audited_flight_inputs,1,unseen
GSE234465:GSM7469193|original,GSE234465:GSM7469193,GSM7469193,GSE234465,YA,control,0,original,YA,prior_audited_flight_inputs,2,unseen
GSE234465:GSM7469194|original,GSE234465:GSM7469194,GSM7469194,GSE234465,OS,control,0,original,OS,prior_audited_flight_inputs,3,unseen
GSE234465:GSM7469195|original,GSE234465:GSM7469195,GSM7469195,GSE234465,OS,control,0,original,OS,prior_audited_flight_inputs,4,unseen
GSE234465:GSM7469196|original,GSE234465:GSM7469196,GSM7469196,GSE234465,OS,control,0,original,OS,prior_audited_flight_inputs,5,unseen
GSE234465:GSM7469197|original,GSE234465:GSM7469197,GSM7469197,GSE234465,YA,flight,1,original,YA,prior_audited_flight_inputs,6,unseen
GSE234465:GSM7469198|original,GSE234465:GSM7469198,GSM7469198,GSE234465,YA,flight,1,original,YA,prior_audited_flight_inputs,7,unseen
GSE234465:GSM7469199|original,GSE234465:GSM7469199,GSM7469199,GSE234465,YA,flight,1,original,YA,prior_audited_flight_inputs,8,unseen
GSE234465:GSM7469200|original,GSE234465:GSM7469200,GSM7469200,GSE234465,OS,flight,1,original,OS,prior_audited_flight_inputs,9,unseen
GSE234465:GSM7469201|original,GSE234465:GSM7469201,GSM7469201,GSE234465,OS,flight,1,original,OS,prior_audited_flight_inputs,10,unseen
GSE234465:GSM7469202|original,GSE234465:GSM7469202,GSM7469202,GSE234465,OS,flight,1,original,OS,prior_audited_flight_inputs,11,unseen
GSE298393:GSM9013395|original,GSE298393:GSM9013395,GSM9013395,GSE298393,YA,control,0,original,YA,prior_audited_flight_inputs,12,absent
GSE298393:GSM9013396|original,GSE298393:GSM9013396,GSM9013396,GSE298393,YA,control,0,original,YA,prior_audited_flight_inputs,13,absent
GSE298393:GSM9013397|original,GSE298393:GSM9013397,GSM9013397,GSE298393,YA,control,0,original,YA,prior_audited_flight_inputs,14,absent
GSE298393:GSM9013398|original,GSE298393:GSM9013398,GSM9013398,GSE298393,OS,control,0,original,OS,prior_audited_flight_inputs,15,absent
GSE298393:GSM9013399|original,GSE298393:GSM9013399,GSM9013399,GSE298393,OS,control,0,original,OS,prior_audited_flight_inputs,16,absent
GSE298393:GSM9013400|original,GSE298393:GSM9013400,GSM9013400,GSE298393,OS,control,0,original,OS,prior_audited_flight_inputs,17,absent
GSE298393:GSM9013404|original,GSE298393:GSM9013404,GSM9013404,GSE298393,YA,flight,1,original,YA,prior_audited_flight_inputs,18,absent
GSE298393:GSM9013405|original,GSE298393:GSM9013405,GSM9013405,GSE298393,YA,flight,1,original,YA,prior_audited_flight_inputs,19,absent
GSE298393:GSM9013406|original,GSE298393:GSM9013406,GSM9013406,GSE298393,YA,flight,1,original,YA,prior_audited_flight_inputs,20,absent
