omitted_source,study,group,probe_shift
BFX01_expr.txt,GSE200335,AT10,2.949788888024817
BFX01_expr.txt,GSE200335,AT18,4.7383300247472695
BFX01_expr.txt,GSE200335,AT21,-1.2940656193178404
BFX01_expr.txt,GSE200335,AT22,2.3582012587517474
BFX01_expr.txt,GSE200335,AT24,1.5877878150264726
BFX01_expr.txt,GSE200335,AT7,2.4757137681376475
BFX01_expr.txt,GSE200335,AT8,2.0122105536876997
BFX01_expr.txt,GSE234465,OS,2.9530305711478553
BFX01_expr.txt,GSE234465,YA,1.8313083470168423
BFX01_expr.txt,GSE298393,OS,-4.635505522517539
BFX01_expr.txt,GSE298393,YA,-3.847094398955698
BFX02_expr.txt,GSE200335,AT10,1.9142457151985406
BFX02_expr.txt,GSE200335,AT18,3.88150355151668
BFX02_expr.txt,GSE200335,AT21,-1.4622487190896556
BFX02_expr.txt,GSE200335,AT22,1.7115725505116153
BFX02_expr.txt,GSE200335,AT24,1.2910994735791435
BFX02_expr.txt,GSE200335,AT7,0.9846425425143419
BFX02_expr.txt,GSE200335,AT8,1.6780442201425507
BFX02_expr.txt,GSE234465,OS,2.497553490715262
BFX02_expr.txt,GSE234465,YA,1.3957420539418361
BFX02_expr.txt,GSE298393,OS,-4.513081920719852
BFX02_expr.txt,GSE298393,YA,-3.457047032925809
BFX17_expr.txt,GSE200335,AT10,2.2759352038210166
BFX17_expr.txt,GSE200335,AT18,3.884529616985281
BFX17_expr.txt,GSE200335,AT21,-1.0640012834609847
BFX17_expr.txt,GSE200335,AT22,2.493273427807531
BFX17_expr.txt,GSE200335,AT24,1.353386820100492
BFX17_expr.txt,GSE200335,AT7,1.4159562157620496
BFX17_expr.txt,GSE200335,AT8,1.5679662847374018
BFX17_expr.txt,GSE234465,OS,1.5735399182244763
BFX17_expr.txt,GSE234465,YA,1.5000945884203973
BFX17_expr.txt,GSE298393,OS,-2.3271361654550855
BFX17_expr.txt,GSE298393,YA,-1.5593409894115782
BFX36_expr.txt,GSE200335,AT10,2.982954634047145
BFX36_expr.txt,GSE200335,AT18,4.611136768666926
BFX36_expr.txt,GSE200335,AT21,-1.262192428649353
BFX36_expr.txt,GSE200335,AT22,2.584445726839329
BFX36_expr.txt,GSE200335,AT24,1.5541452560275908
BFX36_expr.txt,GSE200335,AT7,2.2322494638349752
BFX36_expr.txt,GSE200335,AT8,1.8453438496564836
BFX36_expr.txt,GSE234465,OS,2.289984887343575
BFX36_expr.txt,GSE234465,YA,1.7058317716296116
BFX36_expr.txt,GSE298393,OS,-3.23322181599892
BFX36_expr.txt,GSE298393,YA,-2.4713201229224295
