study,group,route,program,mean_log1p_shift,rank_shift
GSE200335,AT10,harmonized,mitochondrial_expression,0.01016092300415039,-0.00018844368162873604
GSE200335,AT10,harmonized,dna_repair,0.0003612041473388672,0.0001746628387839788
GSE200335,AT10,harmonized,oxidative_stress,-0.012119770050048828,-0.00566687718008807
GSE200335,AT10,harmonized,inflammatory_signaling,0.42372846603393555,0.05618379031498999
GSE200335,AT10,harmonized,proteostasis,0.06149005889892578,0.007372738618054875
GSE200335,AT10,harmonized,muscle_remodeling,-0.0914459228515625,-0.011719366333184045
GSE200335,AT18,harmonized,mitochondrial_expression,0.007077217102050781,0.0024697252368304223
GSE200335,AT18,harmonized,dna_repair,-0.012998819351196289,0.001042278812431241
GSE200335,AT18,harmonized,oxidative_stress,0.0025534629821777344,0.0002740792096638245
GSE200335,AT18,harmonized,inflammatory_signaling,0.40902185440063477,0.061042420165320355
GSE200335,AT18,harmonized,proteostasis,0.013758182525634766,0.005082054068556552
GSE200335,AT18,harmonized,muscle_remodeling,-0.11713314056396484,-0.011186408248035073
GSE200335,AT21,harmonized,mitochondrial_expression,-0.04498624801635742,-0.006808343564686736
GSE200335,AT21,harmonized,dna_repair,-0.005831241607666016,-0.0038643843395063104
GSE200335,AT21,harmonized,oxidative_stress,0.03613901138305664,0.003546044535169268
GSE200335,AT21,harmonized,inflammatory_signaling,0.08328080177307129,0.006248764183164224
GSE200335,AT21,harmonized,proteostasis,0.010320186614990234,-0.0013143827347018577
GSE200335,AT21,harmonized,muscle_remodeling,0.040348052978515625,0.004862662448694488
GSE200335,AT22,harmonized,mitochondrial_expression,0.021871566772460938,-0.0009846278314040724
GSE200335,AT22,harmonized,dna_repair,0.0020437240600585938,-0.002163093965138807
GSE200335,AT22,harmonized,oxidative_stress,0.05479240417480469,0.0007133779992374301
GSE200335,AT22,harmonized,inflammatory_signaling,0.30913400650024414,0.04125366367249372
GSE200335,AT22,harmonized,proteostasis,0.049210548400878906,0.003212446255973944
GSE200335,AT22,harmonized,muscle_remodeling,-0.09021425247192383,-0.0156824612168579
GSE200335,AT24,harmonized,mitochondrial_expression,0.06370306015014648,0.005642372271836726
GSE200335,AT24,harmonized,dna_repair,0.04634213447570801,0.005348646846110028
GSE200335,AT24,harmonized,oxidative_stress,0.10817432403564453,0.009716300996104321
GSE200335,AT24,harmonized,inflammatory_signaling,0.1658320426940918,0.02391027404306767
GSE200335,AT24,harmonized,proteostasis,0.010166645050048828,-2.3713090573362905e-06
GSE200335,AT24,harmonized,muscle_remodeling,-0.05483388900756836,-0.004798764593877181
GSE200335,AT7,harmonized,mitochondrial_expression,-0.0018048286437988281,-0.0047464012438053205
GSE200335,AT7,harmonized,dna_repair,-0.008599281311035156,-0.007164892620755148
GSE200335,AT7,harmonized,oxidative_stress,0.012975215911865234,-0.005923199145181579
GSE200335,AT7,harmonized,inflammatory_signaling,0.3983912467956543,0.05092513886750616
GSE200335,AT7,harmonized,proteostasis,0.044007301330566406,-7.689816514888648e-05
GSE200335,AT7,harmonized,muscle_remodeling,-0.032984018325805664,-0.008765964646994862
GSE200335,AT8,harmonized,mitochondrial_expression,0.023702621459960938,0.0019755882916215883
GSE200335,AT8,harmonized,dna_repair,-0.0006868839263916016,-0.00037310955348734964
GSE200335,AT8,harmonized,oxidative_stress,0.04322004318237305,0.0025948738695196205
GSE200335,AT8,harmonized,inflammatory_signaling,0.19774127006530762,0.029110737214448235
GSE200335,AT8,harmonized,proteostasis,0.027579784393310547,0.003083379291561439
GSE200335,AT8,harmonized,muscle_remodeling,-0.051778316497802734,-0.004700597498487502
GSE234465,OS,harmonized,mitochondrial_expression,0.03539562225341797,0.0057539288844504766
GSE234465,OS,harmonized,dna_repair,-0.03232097625732422,0.010761295441654939
GSE234465,OS,harmonized,oxidative_stress,0.03746938705444336,0.01477351277929706
GSE234465,OS,harmonized,inflammatory_signaling,-0.17834115028381348,-0.005173162715822577
GSE234465,OS,harmonized,proteostasis,-0.02521491050720215,0.015408314577407989
GSE234465,OS,harmonized,muscle_remodeling,-0.15368413925170898,-0.00813900413110935
GSE234465,OS,original,mitochondrial_expression,0.013435840606689453,0.00931823941661003
GSE234465,OS,original,dna_repair,-0.06227278709411621,0.01044640683442899
GSE234465,OS,original,oxidative_stress,0.015059471130371094,0.01650548750327463
GSE234465,OS,original,inflammatory_signaling,-0.20162391662597656,-0.005439661372202087
GSE234465,OS,original,proteostasis,-0.05961322784423828,0.015470984888212302
GSE234465,OS,original,muscle_remodeling,-0.17707061767578125,-0.007259069985166788
GSE234465,YA,harmonized,mitochondrial_expression,0.031262874603271484,0.0007468024382286664
GSE234465,YA,harmonized,dna_repair,-0.004706859588623047,0.007852973364371518
GSE234465,YA,harmonized,oxidative_stress,0.07267928123474121,0.014122671163109612
GSE234465,YA,harmonized,inflammatory_signaling,-0.3330683708190918,-0.036385974205508265
GSE234465,YA,harmonized,proteostasis,-0.05324220657348633,0.0033876972872675104
GSE234465,YA,harmonized,muscle_remodeling,-0.11614513397216797,-0.00552728343208353
GSE234465,YA,original,mitochondrial_expression,0.04810142517089844,0.0016980400449858601
GSE234465,YA,original,dna_repair,0.02246880531311035,0.00804613477331484
GSE234465,YA,original,oxidative_stress,0.09682559967041016,0.016265378674527264
GSE234465,YA,original,inflammatory_signaling,-0.3129303455352783,-0.03697776782233364
GSE234465,YA,original,proteostasis,-0.024922609329223633,0.004008076904488345
GSE234465,YA,original,muscle_remodeling,-0.08511066436767578,-0.00399694765778047
GSE298393,OS,harmonized,mitochondrial_expression,0.17834234237670898,0.0034180204099987233
GSE298393,OS,harmonized,dna_repair,0.1711134910583496,0.0009710097675754703
GSE298393,OS,harmonized,oxidative_stress,0.10320568084716797,-0.0057137151295325594
GSE298393,OS,harmonized,inflammatory_signaling,0.11577260494232178,-0.006085995097348973
GSE298393,OS,harmonized,proteostasis,0.17698431015014648,-0.002573434924730278
GSE298393,OS,harmonized,muscle_remodeling,0.14320039749145508,-0.0001349351347528227
GSE298393,OS,original,mitochondrial_expression,0.17834234237670898,0.0034180204099987233
GSE298393,OS,original,dna_repair,0.1711134910583496,0.0009710097675754703
GSE298393,OS,original,oxidative_stress,0.10320568084716797,-0.0057137151295325594
