id,study,group,label,route,probe_source,metric,flight_training_pool,concept_displacement,flight_score_delta,projected_component,residual_component,projection_is_not_biological_intervention
GSE234465:GSM7469191|original,GSE234465,YA,0,original,ncbi,raw,YA,-0.05479831720848452,35.80742390266062,1.6065491452393879,34.20087475742123,True
GSE234465:GSM7469192|original,GSE234465,YA,0,original,ncbi,raw,YA,-0.04812576798633098,38.89725192118915,1.4109267466786024,37.48632517451055,True
GSE234465:GSM7469193|original,GSE234465,YA,0,original,ncbi,raw,YA,-0.049776772974606205,35.75232488358043,1.4593300697698603,34.292994813810566,True
GSE234465:GSM7469194|original,GSE234465,OS,0,original,ncbi,raw,YA,-0.05584988989144009,42.19520982934491,1.6373786174024088,40.5578312119425,True
GSE234465:GSM7469195|original,GSE234465,OS,0,original,ncbi,raw,YA,-0.05714507370152981,42.45711893728458,1.675350156475608,40.78176878080897,True
GSE234465:GSM7469196|original,GSE234465,OS,0,original,ncbi,raw,YA,-0.05738898537663608,41.9373317042015,1.6825010346981095,40.25483066950339,True
GSE234465:GSM7469197|original,GSE234465,YA,1,original,ncbi,raw,YA,-0.04851283426167328,32.769705040025805,1.4222745585363337,31.34743048148947,True
GSE234465:GSM7469198|original,GSE234465,YA,1,original,ncbi,raw,YA,-0.051829226289868115,35.53186246684568,1.519502850381584,34.012359616464096,True
GSE234465:GSM7469199|original,GSE234465,YA,1,original,ncbi,raw,YA,-0.027351776028156444,24.82595267957709,0.8018854343945128,24.024067245182575,True
GSE234465:GSM7469200|original,GSE234465,OS,1,original,ncbi,raw,YA,-0.04288403137331487,34.60839091225338,1.2572521832212562,33.35113872903212,True
GSE234465:GSM7469201|original,GSE234465,OS,1,original,ncbi,raw,YA,-0.03699316273256262,31.31759973229237,1.08454669769491,30.233053034597457,True
GSE234465:GSM7469202|original,GSE234465,OS,1,original,ncbi,raw,YA,-0.03902772707182242,29.56555678051615,1.1441950184222898,28.42136176209386,True
GSE298393:GSM9013398|original,GSE298393,OS,0,original,ncbi,raw,YA,0.002051477233731186,-1.5543653667272086,-0.060144164350700295,-1.4942212023765082,True
GSE298393:GSM9013399|original,GSE298393,OS,0,original,ncbi,raw,YA,0.005603232128454894,-1.5716754473220897,-0.16427270480403203,-1.4074027425180577,True
GSE298393:GSM9013400|original,GSE298393,OS,0,original,ncbi,raw,YA,0.0023055665643344977,-0.17977099499554045,-0.0675934258917462,-0.11217756910379424,True
GSE298393:GSM9013410|original,GSE298393,OS,1,original,ncbi,raw,YA,-0.015097513158326593,11.780650945069876,0.44262119888591345,11.338029746183963,True
GSE298393:GSM9013411|original,GSE298393,OS,1,original,ncbi,raw,YA,-0.014222573069155491,10.330547574778606,0.41697015111658753,9.91357742366202,True
GSE298393:GSM9013412|original,GSE298393,OS,1,original,ncbi,raw,YA,-0.021206772016826275,11.063182190816038,0.6217293375506018,10.441452853265437,True
GSE234465:GSM7469191|harmonized,GSE234465,YA,0,harmonized,ncbi,raw,YA,-0.03325432222670094,18.48463729207826,0.9749332766107228,17.509704015467538,True
GSE234465:GSM7469192|harmonized,GSE234465,YA,0,harmonized,ncbi,raw,YA,-0.023475918658056583,20.171721512594807,0.6882550226920232,19.483466489902785,True
GSE234465:GSM7469193|harmonized,GSE234465,YA,0,harmonized,ncbi,raw,YA,-0.0255084240308156,17.396270186552247,0.7478429796885363,16.648427206863712,True
GSE234465:GSM7469194|harmonized,GSE234465,OS,0,harmonized,ncbi,raw,YA,-0.02943127472056297,22.848842898613476,0.8628511175942674,21.98599178101921,True
GSE234465:GSM7469195|harmonized,GSE234465,OS,0,harmonized,ncbi,raw,YA,-0.029109720005828565,22.780443646819215,0.8534239402935697,21.927019706525645,True
GSE234465:GSM7469196|harmonized,GSE234465,OS,0,harmonized,ncbi,raw,YA,-0.024450686681216766,20.847741836352245,0.7168327749696463,20.1309090613826,True
GSE234465:GSM7469197|harmonized,GSE234465,YA,1,harmonized,ncbi,raw,YA,-0.023581070780808632,14.415001119170766,0.6913378190539023,13.723663300116863,True
GSE234465:GSM7469198|harmonized,GSE234465,YA,1,harmonized,ncbi,raw,YA,-0.02664559179423445,17.021948326306646,0.7811818848115476,16.240766441495097,True
