study,group,route,probe_source,metric,flight_training_pool,score_gap,projected_gap,residual_gap
GSE200335,AT10,harmonized,ncbi,probe_training_scaled,OS,-3.453282479442646,-0.9731130400765787,-2.480169439366068
GSE200335,AT10,harmonized,ncbi,probe_training_scaled,YA,-4.322779872237539,-0.7734190253678602,-3.549360846869679
GSE200335,AT10,harmonized,ncbi,raw,OS,-3.453282479442646,-0.5625403462575674,-2.8907421331850793
GSE200335,AT10,harmonized,ncbi,raw,YA,-4.322779872237539,-0.46827434393752676,-3.8545055283000123
GSE200335,AT10,harmonized,original,probe_training_scaled,OS,-3.453282479442646,-1.3134520792908724,-2.139830400151773
GSE200335,AT10,harmonized,original,probe_training_scaled,YA,-4.322779872237539,-1.1041108569311717,-3.218669015306367
GSE200335,AT10,harmonized,original,raw,OS,-3.453282479442646,-1.1517637843724504,-2.301518695070195
GSE200335,AT10,harmonized,original,raw,YA,-4.322779872237539,-0.9491534873233691,-3.3736263849141697
GSE200335,AT18,harmonized,ncbi,probe_training_scaled,OS,-7.000492051997885,-1.584017729774668,-5.416474322223218
GSE200335,AT18,harmonized,ncbi,probe_training_scaled,YA,-7.492191083441375,-1.258959029704633,-6.233232053736742
GSE200335,AT18,harmonized,ncbi,raw,OS,-7.000492051997885,-0.9156941131067826,-6.084797938891102
GSE200335,AT18,harmonized,ncbi,raw,YA,-7.492191083441375,-0.762249433156575,-6.729941650284799
GSE200335,AT18,harmonized,original,probe_training_scaled,OS,-7.000492051997885,-2.1360203239684257,-4.864471728029461
GSE200335,AT18,harmonized,original,probe_training_scaled,YA,-7.492191083441375,-1.7955761519616846,-5.69661493147969
GSE200335,AT18,harmonized,original,raw,OS,-7.000492051997885,-1.873072410192985,-5.127419641804899
GSE200335,AT18,harmonized,original,raw,YA,-7.492191083441375,-1.543574502225324,-5.948616581216051
GSE200335,AT21,harmonized,ncbi,probe_training_scaled,OS,4.070791073341816,0.4300862932165278,3.6407047801252865
GSE200335,AT21,harmonized,ncbi,probe_training_scaled,YA,3.6269191764699116,0.3418276274433919,3.285091549026518
GSE200335,AT21,harmonized,ncbi,raw,OS,4.070791073341816,0.24862568102840352,3.822165392313412
GSE200335,AT21,harmonized,ncbi,raw,YA,3.6269191764699116,0.20696298220055062,3.4199561942693606
GSE200335,AT21,harmonized,original,probe_training_scaled,OS,4.070791073341816,0.3704108248335327,3.7003802485082815
GSE200335,AT21,harmonized,original,probe_training_scaled,YA,3.6269191764699116,0.3113738366795502,3.3155453397903614
GSE200335,AT21,harmonized,original,raw,OS,4.070791073341816,0.3248125912695068,3.7459784820723065
GSE200335,AT21,harmonized,original,raw,YA,3.6269191764699116,0.26767381290597747,3.359245363563936
GSE200335,AT22,harmonized,ncbi,probe_training_scaled,OS,-1.8808767764907497,-0.8488136829139012,-1.0320630935768484
GSE200335,AT22,harmonized,ncbi,probe_training_scaled,YA,-2.7476370009819746,-0.6746273293249794,-2.0730096716569957
GSE200335,AT22,harmonized,ncbi,raw,OS,-1.8808767764907497,-0.4906849702239847,-1.390191806266765
GSE200335,AT22,harmonized,ncbi,raw,YA,-2.7476370009819746,-0.4084599158803015,-2.3391770851016735
GSE200335,AT22,harmonized,original,probe_training_scaled,OS,-1.8808767764907497,-1.2755603367215187,-0.6053164397692328
GSE200335,AT22,harmonized,original,probe_training_scaled,YA,-2.7476370009819746,-1.072258393473616,-1.6753786075083594
GSE200335,AT22,harmonized,original,raw,OS,-1.8808767764907497,-1.118536582934154,-0.7623401935565948
GSE200335,AT22,harmonized,original,raw,YA,-2.7476370009819746,-0.9217713847194586,-1.8258656162625169
GSE200335,AT24,harmonized,ncbi,probe_training_scaled,OS,-2.5901169055922537,-0.5532476358676288,-2.036869269724619
GSE200335,AT24,harmonized,ncbi,probe_training_scaled,YA,-3.398962645255377,-0.43971484267248306,-2.959247802582894
GSE200335,AT24,harmonized,ncbi,raw,OS,-2.5901169055922537,-0.31982318993758935,-2.2702937156546668
GSE200335,AT24,harmonized,ncbi,raw,YA,-3.398962645255377,-0.2662297832331117,-3.132732862022266
GSE200335,AT24,harmonized,original,probe_training_scaled,OS,-2.5901169055922537,-0.8184938864574816,-1.771623019134772
GSE200335,AT24,harmonized,original,probe_training_scaled,YA,-3.398962645255377,-0.6880403180429726,-2.710922327212405
GSE200335,AT24,harmonized,original,raw,OS,-2.5901169055922537,-0.7177358283683635,-1.872381077223885
GSE200335,AT24,harmonized,original,raw,YA,-3.398962645255377,-0.5914767191989287,-2.8074859260564473
GSE200335,AT7,harmonized,ncbi,probe_training_scaled,OS,-1.249734693407552,-0.7034264729982731,-0.54630822040928
GSE200335,AT7,harmonized,ncbi,probe_training_scaled,YA,-3.860535716206622,-0.5590752510329762,-3.301460465173646
GSE200335,AT7,harmonized,ncbi,raw,OS,-1.249734693407552,-0.40663905979108883,-0.8430956336164623
GSE200335,AT7,harmonized,ncbi,raw,YA,-3.860535716206622,-0.3384977454681247,-3.5220379707384972
GSE200335,AT7,harmonized,original,probe_training_scaled,OS,-1.249734693407552,-1.135942461609588,-0.11379223179796227
GSE200335,AT7,harmonized,original,probe_training_scaled,YA,-3.860535716206622,-0.9548931586369012,-2.905642557569721
GSE200335,AT7,harmonized,original,raw,OS,-1.249734693407552,-0.9961059174074949,-0.2536287760000562
GSE200335,AT7,harmonized,original,raw,YA,-3.860535716206622,-0.8208778727713764,-3.0396578434352457
GSE200335,AT8,harmonized,ncbi,probe_training_scaled,OS,-2.960258985601101,-0.6452305061321126,-2.315028479468989
GSE200335,AT8,harmonized,ncbi,probe_training_scaled,YA,-3.137287626890572,-0.5128217675009663,-2.6244658593896055
GSE200335,AT8,harmonized,ncbi,raw,OS,-2.960258985601101,-0.37299694628173996,-2.5872620393193593
GSE200335,AT8,harmonized,ncbi,raw,YA,-3.137287626890572,-0.3104931076904658,-2.8267945192001065
GSE200335,AT8,harmonized,original,probe_training_scaled,OS,-2.960258985601101,-0.9639314316493044,-1.9963275539517973
GSE200335,AT8,harmonized,original,probe_training_scaled,YA,-3.137287626890572,-0.8102976696308621,-2.326989957259709
GSE200335,AT8,harmonized,original,raw,OS,-2.960258985601101,-0.8452697522024248,-2.114989233398674
GSE200335,AT8,harmonized,original,raw,YA,-3.137287626890572,-0.6965757596459139,-2.440711867244655
GSE234465,OS,harmonized,ncbi,probe_training_scaled,OS,-10.276604211579832,-0.8363883050136784,-9.440215906566156
GSE234465,OS,harmonized,ncbi,probe_training_scaled,YA,-9.65668889652132,-0.6647517822203374,-8.991937114300983
GSE234465,OS,harmonized,ncbi,raw,OS,-10.276604211579832,-0.4835020674177266,-9.793102144162107
GSE234465,OS,harmonized,ncbi,raw,YA,-9.65668889652132,-0.40248066635349905,-9.254208230167821
GSE234465,OS,harmonized,original,probe_training_scaled,OS,-10.276604211579832,-0.9394663654895326,-9.337137846090304
GSE234465,OS,harmonized,original,probe_training_scaled,YA,-9.65668889652132,-0.7897319058786538,-8.866956990642667
GSE234465,OS,harmonized,original,raw,OS,-10.276604211579832,-0.8238163793467412,-9.452787832233094
GSE234465,OS,harmonized,original,raw,YA,-9.65668889652132,-0.6788963153561143,-8.977792581165208
GSE234465,OS,original,ncbi,probe_training_scaled,OS,-11.322270962000356,-1.0454392550327598,-10.276831706967595
GSE234465,OS,original,ncbi,probe_training_scaled,YA,-10.366037681923032,-0.8309030671761524,-9.53513461474688
GSE234465,OS,original,ncbi,raw,OS,-11.322270962000356,-0.6043509194688235,-10.717920042531539
GSE234465,OS,original,ncbi,raw,YA,-10.366037681923032,-0.5030786364125566,-9.862959045510475
GSE234465,OS,original,original,probe_training_scaled,OS,-11.322270962000356,-1.0409433146366038,-10.281327647363756
GSE234465,OS,original,original,probe_training_scaled,YA,-10.366037681923032,-0.8750352093246581,-9.491002472598375
GSE234465,OS,original,original,raw,OS,-11.322270962000356,-0.912801334960275,-10.409469627040082
GSE234465,OS,original,original,raw,YA,-10.366037681923032,-0.752227654720913,-9.613810027202124
GSE234465,YA,harmonized,ncbi,probe_training_scaled,OS,-6.615345577064064,-0.5841039792910212,-6.031241597773038
GSE234465,YA,harmonized,ncbi,probe_training_scaled,YA,-6.089607029697641,-0.4642391086869002,-5.625367921010739
GSE234465,YA,harmonized,ncbi,raw,OS,-6.615345577064064,-0.33766072514549406,-6.277684851918567
GSE234465,YA,harmonized,ncbi,raw,YA,-6.089607029697641,-0.281078247263316,-5.808528782434324
GSE234465,YA,harmonized,original,probe_training_scaled,OS,-6.615345577064064,-0.7455718892719223,-5.8697736877921365
GSE234465,YA,harmonized,original,probe_training_scaled,YA,-6.089607029697641,-0.6267408080942352,-5.462866221603404
GSE234465,YA,harmonized,original,raw,OS,-6.615345577064064,-0.6537906591713398,-5.961554917892721
GSE234465,YA,harmonized,original,raw,YA,-6.089607029697641,-0.5387803406842082,-5.55082668901343
GSE234465,YA,original,ncbi,probe_training_scaled,OS,-5.531537227095818,-0.5078441288174353,-5.023693098278375
GSE234465,YA,original,ncbi,probe_training_scaled,YA,-5.776493506993873,-0.40362865871971243,-5.372864848274165
GSE234465,YA,original,ncbi,raw,OS,-5.531537227095818,-0.29357618314039957,-5.237961043955416
GSE234465,YA,original,ncbi,raw,YA,-5.776493506993873,-0.24438103945847356,-5.532112467535402
GSE234465,YA,original,original,probe_training_scaled,OS,-5.531537227095818,-0.7283540975608052,-4.803183129535011
GSE234465,YA,original,original,probe_training_scaled,YA,-5.776493506993873,-0.6122672303669945,-5.164226276626881
GSE234465,YA,original,original,raw,OS,-5.531537227095818,-0.6386924083463539,-4.8928448187494595
GSE234465,YA,original,original,raw,YA,-5.776493506993873,-0.5263380694325335,-5.2501554375613395
GSE298393,OS,harmonized,ncbi,probe_training_scaled,YA,12.160064173236455,0.9762994264460318,11.183764746790422
GSE298393,OS,harmonized,ncbi,raw,YA,12.160064173236455,0.5911103275331937,11.56895384570326
GSE298393,OS,harmonized,original,probe_training_scaled,YA,12.160064173236455,1.2264196571633792,10.933644516073073
GSE298393,OS,harmonized,original,raw,YA,12.160064173236455,1.0542967558112843,11.10576741742517
GSE298393,OS,original,ncbi,probe_training_scaled,YA,12.160064173236455,0.9762994264460318,11.183764746790422
GSE298393,OS,original,ncbi,raw,YA,12.160064173236455,0.5911103275331937,11.56895384570326
GSE298393,OS,original,original,probe_training_scaled,YA,12.160064173236455,1.2264196571633792,10.933644516073073
GSE298393,OS,original,original,raw,YA,12.160064173236455,1.0542967558112843,11.10576741742517
GSE298393,YA,harmonized,ncbi,probe_training_scaled,OS,10.084645847067915,0.8383707949723144,9.246275052095601
GSE298393,YA,harmonized,ncbi,raw,OS,10.084645847067915,0.4846481116508768,9.599997735417038
GSE298393,YA,harmonized,original,probe_training_scaled,OS,10.084645847067915,1.5572902515193223,8.52735559554859
GSE298393,YA,harmonized,original,raw,OS,10.084645847067915,1.365585042451334,8.719060804616579
GSE298393,YA,original,ncbi,probe_training_scaled,OS,10.084645847067915,0.8383707949723144,9.246275052095601
GSE298393,YA,original,ncbi,raw,OS,10.084645847067915,0.4846481116508768,9.599997735417038
GSE298393,YA,original,original,probe_training_scaled,OS,10.084645847067915,1.5572902515193223,8.52735559554859
GSE298393,YA,original,original,raw,OS,10.084645847067915,1.365585042451334,8.719060804616579
