id,biological_id,sample,study,group,condition,label,route,donor,source,original_index,catalog,head,score,positive,interpretation
GSE234465:GSM7469191|original,GSE234465:GSM7469191,GSM7469191,GSE234465,YA,control,0,original,YA,prior_audited_flight_inputs,0,unseen,probe_ncbi,-4.467373854616767,False,uncalibrated score; EPS is neither flight nor radiation; flight probe score is not an exposure measurement
GSE234465:GSM7469192|original,GSE234465:GSM7469192,GSM7469192,GSE234465,YA,control,0,original,YA,prior_audited_flight_inputs,1,unseen,probe_ncbi,-3.3450331649250984,False,uncalibrated score; EPS is neither flight nor radiation; flight probe score is not an exposure measurement
GSE234465:GSM7469193|original,GSE234465:GSM7469193,GSM7469193,GSE234465,YA,control,0,original,YA,prior_audited_flight_inputs,2,unseen,probe_ncbi,-3.6227366355976756,False,uncalibrated score; EPS is neither flight nor radiation; flight probe score is not an exposure measurement
GSE234465:GSM7469194|original,GSE234465:GSM7469194,GSM7469194,GSE234465,OS,control,0,original,OS,prior_audited_flight_inputs,3,unseen,probe_ncbi,-4.644251202532132,False,uncalibrated score; EPS is neither flight nor radiation; flight probe score is not an exposure measurement
GSE234465:GSM7469195|original,GSE234465:GSM7469195,GSM7469195,GSE234465,OS,control,0,original,OS,prior_audited_flight_inputs,4,unseen,probe_ncbi,-4.862104595934966,False,uncalibrated score; EPS is neither flight nor radiation; flight probe score is not an exposure measurement
GSE234465:GSM7469196|original,GSE234465:GSM7469196,GSM7469196,GSE234465,OS,control,0,original,OS,prior_audited_flight_inputs,5,unseen,probe_ncbi,-4.903131194397929,False,uncalibrated score; EPS is neither flight nor radiation; flight probe score is not an exposure measurement
GSE234465:GSM7469197|original,GSE234465:GSM7469197,GSM7469197,GSE234465,YA,flight,1,original,YA,prior_audited_flight_inputs,6,unseen,probe_ncbi,-3.4101387514049293,False,uncalibrated score; EPS is neither flight nor radiation; flight probe score is not an exposure measurement
GSE234465:GSM7469198|original,GSE234465:GSM7469198,GSM7469198,GSE234465,YA,flight,1,original,YA,prior_audited_flight_inputs,7,unseen,probe_ncbi,-3.96796479244108,False,uncalibrated score; EPS is neither flight nor radiation; flight probe score is not an exposure measurement
GSE234465:GSM7469199|original,GSE234465:GSM7469199,GSM7469199,GSE234465,YA,flight,1,original,YA,prior_audited_flight_inputs,8,unseen,probe_ncbi,0.14920804420285094,True,uncalibrated score; EPS is neither flight nor radiation; flight probe score is not an exposure measurement
GSE234465:GSM7469200|original,GSE234465:GSM7469200,GSM7469200,GSE234465,OS,flight,1,original,OS,prior_audited_flight_inputs,9,unseen,probe_ncbi,-2.4633589966924774,False,uncalibrated score; EPS is neither flight nor radiation; flight probe score is not an exposure measurement
GSE234465:GSM7469201|original,GSE234465:GSM7469201,GSM7469201,GSE234465,OS,flight,1,original,OS,prior_audited_flight_inputs,10,unseen,probe_ncbi,-1.4724990789877666,False,uncalibrated score; EPS is neither flight nor radiation; flight probe score is not an exposure measurement
GSE234465:GSM7469202|original,GSE234465:GSM7469202,GSM7469202,GSE234465,OS,flight,1,original,OS,prior_audited_flight_inputs,11,unseen,probe_ncbi,-1.8147182620497233,False,uncalibrated score; EPS is neither flight nor radiation; flight probe score is not an exposure measurement
GSE298393:GSM9013395|original,GSE298393:GSM9013395,GSM9013395,GSE298393,YA,control,0,original,YA,prior_audited_flight_inputs,12,absent,probe_ncbi,4.142999330859084,True,uncalibrated score; EPS is neither flight nor radiation; flight probe score is not an exposure measurement
GSE298393:GSM9013396|original,GSE298393:GSM9013396,GSM9013396,GSE298393,YA,control,0,original,YA,prior_audited_flight_inputs,13,absent,probe_ncbi,5.2818824257269625,True,uncalibrated score; EPS is neither flight nor radiation; flight probe score is not an exposure measurement
GSE298393:GSM9013397|original,GSE298393:GSM9013397,GSM9013397,GSE298393,YA,control,0,original,YA,prior_audited_flight_inputs,14,absent,probe_ncbi,4.824668813586527,True,uncalibrated score; EPS is neither flight nor radiation; flight probe score is not an exposure measurement
GSE298393:GSM9013398|original,GSE298393:GSM9013398,GSM9013398,GSE298393,OS,control,0,original,OS,prior_audited_flight_inputs,15,absent,probe_ncbi,5.094914167367392,True,uncalibrated score; EPS is neither flight nor radiation; flight probe score is not an exposure measurement
GSE298393:GSM9013399|original,GSE298393:GSM9013399,GSM9013399,GSE298393,OS,control,0,original,OS,prior_audited_flight_inputs,16,absent,probe_ncbi,5.692328874317013,True,uncalibrated score; EPS is neither flight nor radiation; flight probe score is not an exposure measurement
GSE298393:GSM9013400|original,GSE298393:GSM9013400,GSM9013400,GSE298393,OS,control,0,original,OS,prior_audited_flight_inputs,17,absent,probe_ncbi,5.1376526748040305,True,uncalibrated score; EPS is neither flight nor radiation; flight probe score is not an exposure measurement
GSE298393:GSM9013404|original,GSE298393:GSM9013404,GSM9013404,GSE298393,YA,flight,1,original,YA,prior_audited_flight_inputs,18,absent,probe_ncbi,2.464172609967477,True,uncalibrated score; EPS is neither flight nor radiation; flight probe score is not an exposure measurement
GSE298393:GSM9013405|original,GSE298393:GSM9013405,GSM9013405,GSE298393,YA,flight,1,original,YA,prior_audited_flight_inputs,19,absent,probe_ncbi,2.483450002377822,True,uncalibrated score; EPS is neither flight nor radiation; flight probe score is not an exposure measurement
GSE298393:GSM9013406|original,GSE298393:GSM9013406,GSM9013406,GSE298393,YA,flight,1,original,YA,prior_audited_flight_inputs,20,absent,probe_ncbi,2.3580737122622395,True,uncalibrated score; EPS is neither flight nor radiation; flight probe score is not an exposure measurement
GSE298393:GSM9013410|original,GSE298393:GSM9013410,GSM9013410,GSE298393,OS,flight,1,original,OS,prior_audited_flight_inputs,21,absent,probe_ncbi,2.2104079519267543,True,uncalibrated score; EPS is neither flight nor radiation; flight probe score is not an exposure measurement
GSE298393:GSM9013411|original,GSE298393:GSM9013411,GSM9013411,GSE298393,OS,flight,1,original,OS,prior_audited_flight_inputs,22,absent,probe_ncbi,2.3575752234485208,True,uncalibrated score; EPS is neither flight nor radiation; flight probe score is not an exposure measurement
GSE298393:GSM9013412|original,GSE298393:GSM9013412,GSM9013412,GSE298393,OS,flight,1,original,OS,prior_audited_flight_inputs,23,absent,probe_ncbi,1.1828142133915662,True,uncalibrated score; EPS is neither flight nor radiation; flight probe score is not an exposure measurement
GSE234465:GSM7469191|harmonized,GSE234465:GSM7469191,GSM7469191,GSE234465,YA,control,0,harmonized,YA,prior_audited_flight_inputs,0,unseen,probe_ncbi,-0.8436160700675828,False,uncalibrated score; EPS is neither flight nor radiation; flight probe score is not an exposure measurement
GSE234465:GSM7469192|harmonized,GSE234465:GSM7469192,GSM7469192,GSE234465,YA,control,0,harmonized,YA,prior_audited_flight_inputs,1,unseen,probe_ncbi,0.8011376574698943,True,uncalibrated score; EPS is neither flight nor radiation; flight probe score is not an exposure measurement
GSE234465:GSM7469193|harmonized,GSE234465:GSM7469193,GSM7469193,GSE234465,YA,control,0,harmonized,YA,prior_audited_flight_inputs,2,unseen,probe_ncbi,0.4592647980998663,True,uncalibrated score; EPS is neither flight nor radiation; flight probe score is not an exposure measurement
GSE234465:GSM7469194|harmonized,GSE234465:GSM7469194,GSM7469194,GSE234465,OS,control,0,harmonized,OS,prior_audited_flight_inputs,3,unseen,probe_ncbi,-0.20056921767172753,False,uncalibrated score; EPS is neither flight nor radiation; flight probe score is not an exposure measurement
GSE234465:GSM7469195|harmonized,GSE234465:GSM7469195,GSM7469195,GSE234465,OS,control,0,harmonized,OS,prior_audited_flight_inputs,4,unseen,probe_ncbi,-0.14648285153293727,False,uncalibrated score; EPS is neither flight nor radiation; flight probe score is not an exposure measurement
GSE234465:GSM7469196|harmonized,GSE234465:GSM7469196,GSM7469196,GSE234465,OS,control,0,harmonized,OS,prior_audited_flight_inputs,5,unseen,probe_ncbi,0.6371790594919275,True,uncalibrated score; EPS is neither flight nor radiation; flight probe score is not an exposure measurement
GSE234465:GSM7469197|harmonized,GSE234465:GSM7469197,GSM7469197,GSE234465,YA,flight,1,harmonized,YA,prior_audited_flight_inputs,6,unseen,probe_ncbi,0.7834507881725585,True,uncalibrated score; EPS is neither flight nor radiation; flight probe score is not an exposure measurement
GSE234465:GSM7469198|harmonized,GSE234465:GSM7469198,GSM7469198,GSE234465,YA,flight,1,harmonized,YA,prior_audited_flight_inputs,7,unseen,probe_ncbi,0.26799012789558674,True,uncalibrated score; EPS is neither flight nor radiation; flight probe score is not an exposure measurement
GSE234465:GSM7469199|harmonized,GSE234465:GSM7469199,GSM7469199,GSE234465,YA,flight,1,harmonized,YA,prior_audited_flight_inputs,8,unseen,probe_ncbi,4.203220215041711,True,uncalibrated score; EPS is neither flight nor radiation; flight probe score is not an exposure measurement
GSE234465:GSM7469200|harmonized,GSE234465:GSM7469200,GSM7469200,GSE234465,OS,flight,1,harmonized,OS,prior_audited_flight_inputs,9,unseen,probe_ncbi,2.121072850746941,True,uncalibrated score; EPS is neither flight nor radiation; flight probe score is not an exposure measurement
GSE234465:GSM7469201|harmonized,GSE234465:GSM7469201,GSM7469201,GSE234465,OS,flight,1,harmonized,OS,prior_audited_flight_inputs,10,unseen,probe_ncbi,2.6281621234686554,True,uncalibrated score; EPS is neither flight nor radiation; flight probe score is not an exposure measurement
GSE234465:GSM7469202|harmonized,GSE234465:GSM7469202,GSM7469202,GSE234465,OS,flight,1,harmonized,OS,prior_audited_flight_inputs,11,unseen,probe_ncbi,2.468326174727167,True,uncalibrated score; EPS is neither flight nor radiation; flight probe score is not an exposure measurement
GSE298393:GSM9013395|harmonized,GSE298393:GSM9013395,GSM9013395,GSE298393,YA,control,0,harmonized,YA,prior_audited_flight_inputs,12,absent,probe_ncbi,4.142999330859084,True,uncalibrated score; EPS is neither flight nor radiation; flight probe score is not an exposure measurement
GSE298393:GSM9013396|harmonized,GSE298393:GSM9013396,GSM9013396,GSE298393,YA,control,0,harmonized,YA,prior_audited_flight_inputs,13,absent,probe_ncbi,5.2818824257269625,True,uncalibrated score; EPS is neither flight nor radiation; flight probe score is not an exposure measurement
GSE298393:GSM9013397|harmonized,GSE298393:GSM9013397,GSM9013397,GSE298393,YA,control,0,harmonized,YA,prior_audited_flight_inputs,14,absent,probe_ncbi,4.824668813586527,True,uncalibrated score; EPS is neither flight nor radiation; flight probe score is not an exposure measurement
GSE298393:GSM9013398|harmonized,GSE298393:GSM9013398,GSM9013398,GSE298393,OS,control,0,harmonized,OS,prior_audited_flight_inputs,15,absent,probe_ncbi,5.094914167367392,True,uncalibrated score; EPS is neither flight nor radiation; flight probe score is not an exposure measurement
GSE298393:GSM9013399|harmonized,GSE298393:GSM9013399,GSM9013399,GSE298393,OS,control,0,harmonized,OS,prior_audited_flight_inputs,16,absent,probe_ncbi,5.692328874317013,True,uncalibrated score; EPS is neither flight nor radiation; flight probe score is not an exposure measurement
GSE298393:GSM9013400|harmonized,GSE298393:GSM9013400,GSM9013400,GSE298393,OS,control,0,harmonized,OS,prior_audited_flight_inputs,17,absent,probe_ncbi,5.1376526748040305,True,uncalibrated score; EPS is neither flight nor radiation; flight probe score is not an exposure measurement
GSE298393:GSM9013404|harmonized,GSE298393:GSM9013404,GSM9013404,GSE298393,YA,flight,1,harmonized,YA,prior_audited_flight_inputs,18,absent,probe_ncbi,2.464172609967477,True,uncalibrated score; EPS is neither flight nor radiation; flight probe score is not an exposure measurement
GSE298393:GSM9013405|harmonized,GSE298393:GSM9013405,GSM9013405,GSE298393,YA,flight,1,harmonized,YA,prior_audited_flight_inputs,19,absent,probe_ncbi,2.483450002377822,True,uncalibrated score; EPS is neither flight nor radiation; flight probe score is not an exposure measurement
GSE298393:GSM9013406|harmonized,GSE298393:GSM9013406,GSM9013406,GSE298393,YA,flight,1,harmonized,YA,prior_audited_flight_inputs,20,absent,probe_ncbi,2.3580737122622395,True,uncalibrated score; EPS is neither flight nor radiation; flight probe score is not an exposure measurement
GSE298393:GSM9013410|harmonized,GSE298393:GSM9013410,GSM9013410,GSE298393,OS,flight,1,harmonized,OS,prior_audited_flight_inputs,21,absent,probe_ncbi,2.2104079519267543,True,uncalibrated score; EPS is neither flight nor radiation; flight probe score is not an exposure measurement
GSE298393:GSM9013411|harmonized,GSE298393:GSM9013411,GSM9013411,GSE298393,OS,flight,1,harmonized,OS,prior_audited_flight_inputs,22,absent,probe_ncbi,2.3575752234485208,True,uncalibrated score; EPS is neither flight nor radiation; flight probe score is not an exposure measurement
GSE298393:GSM9013412|harmonized,GSE298393:GSM9013412,GSM9013412,GSE298393,OS,flight,1,harmonized,OS,prior_audited_flight_inputs,23,absent,probe_ncbi,1.1828142133915662,True,uncalibrated score; EPS is neither flight nor radiation; flight probe score is not an exposure measurement
GSE200335:GSM6031437|harmonized,GSE200335:GSM6031437,GSM6031437,GSE200335,AT24,control,0,harmonized,AT24,NCBI_counts,-1,train,probe_ncbi,1.4266378979776846,True,uncalibrated score; EPS is neither flight nor radiation; flight probe score is not an exposure measurement
GSE200335:GSM6031437|wider_gene_mask,GSE200335:GSM6031437,GSM6031437,GSE200335,AT24,control,0,wider_gene_mask,AT24,NCBI_counts,-1,train,probe_ncbi,2.2715593300463297,True,uncalibrated score; EPS is neither flight nor radiation; flight probe score is not an exposure measurement
GSE200335:GSM6031438|harmonized,GSE200335:GSM6031438,GSM6031438,GSE200335,AT24,EPS,1,harmonized,AT24,NCBI_counts,-1,train,probe_ncbi,2.9540730011590313,True,uncalibrated score; EPS is neither flight nor radiation; flight probe score is not an exposure measurement
GSE200335:GSM6031438|wider_gene_mask,GSE200335:GSM6031438,GSM6031438,GSE200335,AT24,EPS,1,wider_gene_mask,AT24,NCBI_counts,-1,train,probe_ncbi,3.79825615056086,True,uncalibrated score; EPS is neither flight nor radiation; flight probe score is not an exposure measurement
GSE200335:GSM6031439|harmonized,GSE200335:GSM6031439,GSM6031439,GSE200335,AT7,control,0,harmonized,AT7,NCBI_counts,-1,train,probe_ncbi,7.819415385760749,True,uncalibrated score; EPS is neither flight nor radiation; flight probe score is not an exposure measurement
GSE200335:GSM6031439|wider_gene_mask,GSE200335:GSM6031439,GSM6031439,GSE200335,AT7,control,0,wider_gene_mask,AT7,NCBI_counts,-1,train,probe_ncbi,8.774355558439083,True,uncalibrated score; EPS is neither flight nor radiation; flight probe score is not an exposure measurement
GSE200335:GSM6031440|harmonized,GSE200335:GSM6031440,GSM6031440,GSE200335,AT7,EPS,1,harmonized,AT7,NCBI_counts,-1,train,probe_ncbi,9.761472102694825,True,uncalibrated score; EPS is neither flight nor radiation; flight probe score is not an exposure measurement
GSE200335:GSM6031440|wider_gene_mask,GSE200335:GSM6031440,GSM6031440,GSE200335,AT7,EPS,1,wider_gene_mask,AT7,NCBI_counts,-1,train,probe_ncbi,10.718684541437426,True,uncalibrated score; EPS is neither flight nor radiation; flight probe score is not an exposure measurement
GSE200335:GSM6031441|harmonized,GSE200335:GSM6031441,GSM6031441,GSE200335,AT8,control,0,harmonized,AT8,NCBI_counts,-1,train,probe_ncbi,6.40905014642783,True,uncalibrated score; EPS is neither flight nor radiation; flight probe score is not an exposure measurement
GSE200335:GSM6031441|wider_gene_mask,GSE200335:GSM6031441,GSM6031441,GSE200335,AT8,control,0,wider_gene_mask,AT8,NCBI_counts,-1,train,probe_ncbi,7.30140221424756,True,uncalibrated score; EPS is neither flight nor radiation; flight probe score is not an exposure measurement
GSE200335:GSM6031442|harmonized,GSE200335:GSM6031442,GSM6031442,GSE200335,AT8,EPS,1,harmonized,AT8,NCBI_counts,-1,train,probe_ncbi,8.190436384371765,True,uncalibrated score; EPS is neither flight nor radiation; flight probe score is not an exposure measurement
GSE200335:GSM6031442|wider_gene_mask,GSE200335:GSM6031442,GSM6031442,GSE200335,AT8,EPS,1,wider_gene_mask,AT8,NCBI_counts,-1,train,probe_ncbi,9.078887744688245,True,uncalibrated score; EPS is neither flight nor radiation; flight probe score is not an exposure measurement
GSE200335:GSM6031443|harmonized,GSE200335:GSM6031443,GSM6031443,GSE200335,AT10,control,0,harmonized,AT10,NCBI_counts,-1,train,probe_ncbi,8.013530048910297,True,uncalibrated score; EPS is neither flight nor radiation; flight probe score is not an exposure measurement
GSE200335:GSM6031443|wider_gene_mask,GSE200335:GSM6031443,GSM6031443,GSE200335,AT10,control,0,wider_gene_mask,AT10,NCBI_counts,-1,train,probe_ncbi,8.866888236658724,True,uncalibrated score; EPS is neither flight nor radiation; flight probe score is not an exposure measurement
GSE200335:GSM6031444|harmonized,GSE200335:GSM6031444,GSM6031444,GSE200335,AT10,EPS,1,harmonized,AT10,NCBI_counts,-1,train,probe_ncbi,10.70015159126092,True,uncalibrated score; EPS is neither flight nor radiation; flight probe score is not an exposure measurement
GSE200335:GSM6031444|wider_gene_mask,GSE200335:GSM6031444,GSM6031444,GSE200335,AT10,EPS,1,wider_gene_mask,AT10,NCBI_counts,-1,train,probe_ncbi,11.540215426301188,True,uncalibrated score; EPS is neither flight nor radiation; flight probe score is not an exposure measurement
GSE200335:GSM6031445|harmonized,GSE200335:GSM6031445,GSM6031445,GSE200335,AT18,control,0,harmonized,AT18,NCBI_counts,-1,val,probe_ncbi,7.4963446942196015,True,uncalibrated score; EPS is neither flight nor radiation; flight probe score is not an exposure measurement
GSE200335:GSM6031445|wider_gene_mask,GSE200335:GSM6031445,GSM6031445,GSE200335,AT18,control,0,wider_gene_mask,AT18,NCBI_counts,-1,val,probe_ncbi,8.373412959372558,True,uncalibrated score; EPS is neither flight nor radiation; flight probe score is not an exposure measurement
GSE200335:GSM6031446|harmonized,GSE200335:GSM6031446,GSM6031446,GSE200335,AT18,EPS,1,harmonized,AT18,NCBI_counts,-1,train,probe_ncbi,11.86958395935477,True,uncalibrated score; EPS is neither flight nor radiation; flight probe score is not an exposure measurement
GSE200335:GSM6031446|wider_gene_mask,GSE200335:GSM6031446,GSM6031446,GSE200335,AT18,EPS,1,wider_gene_mask,AT18,NCBI_counts,-1,train,probe_ncbi,12.69191306299831,True,uncalibrated score; EPS is neither flight nor radiation; flight probe score is not an exposure measurement
GSE200335:GSM6031447|harmonized,GSE200335:GSM6031447,GSM6031447,GSE200335,AT21,control,0,harmonized,AT21,NCBI_counts,-1,train,probe_ncbi,7.2925822167095475,True,uncalibrated score; EPS is neither flight nor radiation; flight probe score is not an exposure measurement
GSE200335:GSM6031447|wider_gene_mask,GSE200335:GSM6031447,GSM6031447,GSE200335,AT21,control,0,wider_gene_mask,AT21,NCBI_counts,-1,train,probe_ncbi,8.165038711153898,True,uncalibrated score; EPS is neither flight nor radiation; flight probe score is not an exposure measurement
GSE200335:GSM6031448|harmonized,GSE200335:GSM6031448,GSM6031448,GSE200335,AT21,EPS,1,harmonized,AT21,NCBI_counts,-1,train,probe_ncbi,6.105177410856527,True,uncalibrated score; EPS is neither flight nor radiation; flight probe score is not an exposure measurement
GSE200335:GSM6031448|wider_gene_mask,GSE200335:GSM6031448,GSM6031448,GSE200335,AT21,EPS,1,wider_gene_mask,AT21,NCBI_counts,-1,train,probe_ncbi,7.064910146585362,True,uncalibrated score; EPS is neither flight nor radiation; flight probe score is not an exposure measurement
GSE200335:GSM6031449|harmonized,GSE200335:GSM6031449,GSM6031449,GSE200335,AT22,control,0,harmonized,AT22,NCBI_counts,-1,train,probe_ncbi,8.538121918092429,True,uncalibrated score; EPS is neither flight nor radiation; flight probe score is not an exposure measurement
GSE200335:GSM6031449|wider_gene_mask,GSE200335:GSM6031449,GSM6031449,GSE200335,AT22,control,0,wider_gene_mask,AT22,NCBI_counts,-1,train,probe_ncbi,9.404676118118573,True,uncalibrated score; EPS is neither flight nor radiation; flight probe score is not an exposure measurement
GSE200335:GSM6031450|harmonized,GSE200335:GSM6031450,GSM6031450,GSE200335,AT22,EPS,1,harmonized,AT22,NCBI_counts,-1,train,probe_ncbi,10.881571272937151,True,uncalibrated score; EPS is neither flight nor radiation; flight probe score is not an exposure measurement
GSE200335:GSM6031450|wider_gene_mask,GSE200335:GSM6031450,GSM6031450,GSE200335,AT22,EPS,1,wider_gene_mask,AT22,NCBI_counts,-1,train,probe_ncbi,11.709766977000697,True,uncalibrated score; EPS is neither flight nor radiation; flight probe score is not an exposure measurement
GSE234465:GSM7469191|original,GSE234465:GSM7469191,GSM7469191,GSE234465,YA,control,0,original,YA,prior_audited_flight_inputs,0,unseen,probe_original,-18.709608445468348,False,uncalibrated score; EPS is neither flight nor radiation; flight probe score is not an exposure measurement
GSE234465:GSM7469192|original,GSE234465:GSM7469192,GSM7469192,GSE234465,YA,control,0,original,YA,prior_audited_flight_inputs,1,unseen,probe_original,-17.970908593028184,False,uncalibrated score; EPS is neither flight nor radiation; flight probe score is not an exposure measurement
GSE234465:GSM7469193|original,GSE234465:GSM7469193,GSM7469193,GSE234465,YA,control,0,original,YA,prior_audited_flight_inputs,2,unseen,probe_original,-17.994587935833692,False,uncalibrated score; EPS is neither flight nor radiation; flight probe score is not an exposure measurement
GSE234465:GSM7469194|original,GSE234465:GSM7469194,GSM7469194,GSE234465,OS,control,0,original,OS,prior_audited_flight_inputs,3,unseen,probe_original,-18.49659982240985,False,uncalibrated score; EPS is neither flight nor radiation; flight probe score is not an exposure measurement
GSE234465:GSM7469195|original,GSE234465:GSM7469195,GSM7469195,GSE234465,OS,control,0,original,OS,prior_audited_flight_inputs,4,unseen,probe_original,-18.884646428079463,False,uncalibrated score; EPS is neither flight nor radiation; flight probe score is not an exposure measurement
GSE234465:GSM7469196|original,GSE234465:GSM7469196,GSM7469196,GSE234465,OS,control,0,original,OS,prior_audited_flight_inputs,5,unseen,probe_original,-17.77430705453537,False,uncalibrated score; EPS is neither flight nor radiation; flight probe score is not an exposure measurement
GSE234465:GSM7469197|original,GSE234465:GSM7469197,GSM7469197,GSE234465,YA,flight,1,original,YA,prior_audited_flight_inputs,6,unseen,probe_original,-18.5660687832318,False,uncalibrated score; EPS is neither flight nor radiation; flight probe score is not an exposure measurement
GSE234465:GSM7469198|original,GSE234465:GSM7469198,GSM7469198,GSE234465,YA,flight,1,original,YA,prior_audited_flight_inputs,7,unseen,probe_original,-17.987158848350305,False,uncalibrated score; EPS is neither flight nor radiation; flight probe score is not an exposure measurement
GSE234465:GSM7469199|original,GSE234465:GSM7469199,GSM7469199,GSE234465,YA,flight,1,original,YA,prior_audited_flight_inputs,8,unseen,probe_original,-13.048986070367278,False,uncalibrated score; EPS is neither flight nor radiation; flight probe score is not an exposure measurement
GSE234465:GSM7469200|original,GSE234465:GSM7469200,GSM7469200,GSE234465,OS,flight,1,original,OS,prior_audited_flight_inputs,9,unseen,probe_original,-15.986683144932272,False,uncalibrated score; EPS is neither flight nor radiation; flight probe score is not an exposure measurement
