study,group,route,head,n_treated,n_control,treated_minus_control,control_mean,treated_mean,treated_positive_fraction,control_positive_fraction
GSE200335,AT10,harmonized,probe_ncbi,1,1,2.686621542350622,8.013530048910297,10.70015159126092,1.0,1.0
GSE200335,AT10,harmonized,probe_original,1,1,3.049340795472517,5.986994676683821,9.036335472156338,1.0,1.0
GSE200335,AT10,harmonized,flight_YA,1,1,-4.322779872237561,-5.298549526098213,-9.621329398335774,0.0,0.0
GSE200335,AT10,harmonized,flight_OS,1,1,-3.453282479442578,4.608467228189511,1.155184748746933,1.0,1.0
GSE200335,AT10,wider_gene_mask,probe_ncbi,1,1,2.673327189642464,8.866888236658724,11.540215426301188,1.0,1.0
GSE200335,AT10,wider_gene_mask,probe_original,1,1,3.0709455782891837,7.243826597565544,10.314772175854728,1.0,1.0
GSE200335,AT10,wider_gene_mask,flight_YA,1,1,-4.274042940394793,-8.563491245925661,-12.837534186320454,0.0,0.0
GSE200335,AT10,wider_gene_mask,flight_OS,1,1,-3.380990643275254,1.196690119101504,-2.18430052417375,0.0,1.0
GSE200335,AT18,harmonized,probe_ncbi,1,1,4.373239265135169,7.4963446942196015,11.86958395935477,1.0,1.0
GSE200335,AT18,harmonized,probe_original,1,1,4.959034300933354,4.103711651705453,9.062745952638807,1.0,1.0
GSE200335,AT18,harmonized,flight_YA,1,1,-7.492191083441185,11.848679430779157,4.356488347337972,1.0,1.0
GSE200335,AT18,harmonized,flight_OS,1,1,-7.0004920519979805,17.716090249537956,10.715598197539975,1.0,1.0
GSE200335,AT18,wider_gene_mask,probe_ncbi,1,1,4.318500103625752,8.373412959372558,12.69191306299831,1.0,1.0
GSE200335,AT18,wider_gene_mask,probe_original,1,1,4.897038677221531,5.410268989044425,10.307307666265956,1.0,1.0
GSE200335,AT18,wider_gene_mask,flight_YA,1,1,-7.328300384089971,8.665288585159715,1.3369882010697438,1.0,1.0
GSE200335,AT18,wider_gene_mask,flight_OS,1,1,-6.841712451536978,14.463344186227687,7.621631734690709,1.0,1.0
GSE200335,AT21,harmonized,probe_ncbi,1,1,-1.1874048058530207,7.2925822167095475,6.105177410856527,1.0,1.0
GSE200335,AT21,harmonized,probe_original,1,1,-0.859954357725428,4.107190266010321,3.2472359082848925,1.0,1.0
GSE200335,AT21,harmonized,flight_YA,1,1,3.6269191764697553,14.550147602153402,18.177066778623157,1.0,1.0
GSE200335,AT21,harmonized,flight_OS,1,1,4.070791073341752,21.590197424339294,25.660988497681046,1.0,1.0
GSE200335,AT21,wider_gene_mask,probe_ncbi,1,1,-1.1001285645685357,8.165038711153898,7.064910146585362,1.0,1.0
GSE200335,AT21,wider_gene_mask,probe_original,1,1,-0.7458504065873512,5.395257673235619,4.649407266648268,1.0,1.0
GSE200335,AT21,wider_gene_mask,flight_YA,1,1,3.365794418882615,11.236603012574278,14.602397431456893,1.0,1.0
GSE200335,AT21,wider_gene_mask,flight_OS,1,1,3.8618477666814215,18.260572793088613,22.122420559770035,1.0,1.0
GSE200335,AT22,harmonized,probe_ncbi,1,1,2.343449354844722,8.538121918092429,10.881571272937151,1.0,1.0
GSE200335,AT22,harmonized,probe_original,1,1,2.961370447524587,5.889592991411405,8.850963438935992,1.0,1.0
GSE200335,AT22,harmonized,flight_YA,1,1,-2.7476370009819675,-1.091207983938375,-3.8388449849203425,0.0,0.0
GSE200335,AT22,harmonized,flight_OS,1,1,-1.8808767764908225,7.087605296985657,5.206728520494835,1.0,1.0
GSE200335,AT22,wider_gene_mask,probe_ncbi,1,1,2.3050908588821244,9.404676118118573,11.709766977000697,1.0,1.0
GSE200335,AT22,wider_gene_mask,probe_original,1,1,2.927531303524461,7.173826205825435,10.101357509349896,1.0,1.0
GSE200335,AT22,wider_gene_mask,flight_YA,1,1,-2.678988206753047,-4.250622908840569,-6.929611115593616,0.0,0.0
GSE200335,AT22,wider_gene_mask,flight_OS,1,1,-1.7838032930976624,3.7823695618772035,1.9985662687795411,1.0,1.0
GSE200335,AT24,harmonized,probe_ncbi,1,1,1.5274351031813467,1.4266378979776846,2.9540730011590313,1.0,1.0
GSE200335,AT24,harmonized,probe_original,1,1,1.9002343809659124,-4.0545555702295815,-2.154321189263669,0.0,0.0
GSE200335,AT24,harmonized,flight_YA,1,1,-3.398962645255324,28.42627444011373,25.027311794858406,1.0,1.0
GSE200335,AT24,harmonized,flight_OS,1,1,-2.5901169055919127,34.47150681735275,31.881389911760834,1.0,1.0
GSE200335,AT24,wider_gene_mask,probe_ncbi,1,1,1.5266968205145304,2.2715593300463297,3.79825615056086,1.0,1.0
GSE200335,AT24,wider_gene_mask,probe_original,1,1,1.894948006316099,-2.786453113384937,-0.8915051070688378,0.0,0.0
GSE200335,AT24,wider_gene_mask,flight_YA,1,1,-3.363510792946272,25.401811160804527,22.038300367858255,1.0,1.0
GSE200335,AT24,wider_gene_mask,flight_OS,1,1,-2.5621603505949224,31.56137328361251,28.99921293301759,1.0,1.0
