recipient,donor,stratum,seed,effect_vs_a1500_percent,effect_vs_a2250_percent,positive_vs_a1500,positive_vs_a2250,beats_all_random_controls,random_comparison_effects_percent,held_out_donors
brain,skin,high,17,0.26343390439379377,-1.1031644224725001,True,False,True,"[1.2425338176314928, 1.7128992182552978, 1.3686190711395525]",74
brain,skin,high,42,-0.41180164545916786,-6.077847290727651,False,False,True,"[4.2565031004988345, 1.7401955758179464, 1.7521501153333512]",74
brain,skin,high,101,-2.1362505677236596,-4.705998550983616,False,False,False,"[-1.3806152784916323, -0.5365746939436047, -0.18850741000911464]",74
colon,skeletal_muscle,high,17,-0.16306719077551846,-1.3202609670668115,False,False,False,"[-0.03013555286171439, -0.06794454340731314, 0.45343584134578624]",132
colon,skeletal_muscle,high,42,0.5258315822207315,-0.8153227614899766,True,False,True,"[1.2043275376952849, 0.31100919249994446, 0.368654075405252]",132
colon,skeletal_muscle,high,101,0.47159974269527954,-0.78961049206174,True,False,True,"[0.944641351944323, 1.3258797698969955, 1.6144738780269285]",132
liver,skin,high,17,1.8820538216976574,-1.4203351269022588,True,False,True,"[1.5929993298622829, 1.1461615910650889, 1.1993662100530273]",48
liver,skin,high,42,1.7535844585717788,-1.2532844408268498,True,False,True,"[1.8635451015302074, 1.7475939767466104, 1.228528484243231]",48
liver,skin,high,101,2.241509357439847,-4.397921002287856,True,False,True,"[4.272635844315865, 2.8412726846524468, 5.815506172035297]",48
adipose,lung,middle,17,-0.5464930173662619,-2.612298360588167,False,False,True,"[0.547176806815983, 0.4481096981277732, 0.3321583796993939]",159
adipose,lung,middle,42,-0.18930742865845332,-2.337838902389685,False,False,True,"[1.4390095581007991, 1.431666221677163, 1.2081426610480275]",159
adipose,lung,middle,101,1.0910844611676311,-1.221851639290578,True,False,True,"[1.7551993152378151, 2.091868025638512, 2.2164601460268045]",159
heart,adipose,middle,17,1.4481333087219646,-1.381042498865066,True,False,True,"[1.7819790470607058, 2.4060239900383196, 0.4068654240389166]",108
heart,adipose,middle,42,0.07075046690917154,-3.2053339545245456,True,False,False,"[0.9496698570684919, -0.6024286929256645, 0.7392739575469818]",108
heart,adipose,middle,101,-2.1203125874960316,-5.067014653948099,False,False,True,"[0.33720864713172805, 0.08344840496518992, 0.05748535306511256]",108
lung,skeletal_muscle,low,17,-0.21862680307731888,-1.650246603309959,False,False,True,"[3.1047956536400254, 3.0211611428020504, 0.8926451633057393]",118
lung,skeletal_muscle,low,42,1.140600103712005,-1.788555639896382,True,False,True,"[2.983907859604191, 1.8261678240339392, 2.1546758013431337]",118
lung,skeletal_muscle,low,101,-2.064551433947955,-3.956645930650962,False,False,True,"[1.0255251931888199, 0.920030795642852, 0.8551465582116483]",118
skeletal_muscle,lung,low,17,-0.15788499122504332,-4.740039848565197,False,False,True,"[1.5235356138523772, 5.828971875642311, 1.0012836702249204]",159
skeletal_muscle,lung,low,42,0.6307668146880526,-7.126903587053912,True,False,True,"[1.8285906418648967, 0.5232340609724723, 4.445950133189195]",159
skeletal_muscle,lung,low,101,2.0270398674877574,-3.1656315864157625,True,False,True,"[3.2137508350448267, 3.8012439631314474, 2.6976521134750953]",159
skin,adipose,low,17,-1.0801531665813195,-4.159176797880051,False,False,True,"[0.6647492739632381, 1.7564429565342448, 2.3352985642701105]",166
skin,adipose,low,42,0.7235301518900337,-4.922654752783871,True,False,False,"[-4.14255158616283, -2.441503620860429, 0.5516302177583426]",166
skin,adipose,low,101,1.221495598319777,-6.90067169161739,True,False,True,"[1.6633240229815403, 2.7895220998690125, 4.017803095662605]",166
