comparison,seed,relative_mse_reduction,ci95_low,ci95_high
shared_vs_pooled,17,0.36619731084168816,0.3617656396644897,0.370697240981588
shared_vs_pooled,42,0.350815616158962,0.34604272561709015,0.355611708134082
shared_vs_pooled,101,0.3005112696932969,0.29394729472407977,0.30655862414902785
shared_vs_organ_private,17,0.06811242859109255,0.06445474285365368,0.07180647706660714
shared_vs_organ_private,42,0.18775136799283687,0.18315501574975465,0.19216064562620402
shared_vs_organ_private,101,0.04499750286892856,0.03806848769578983,0.05146916678062725
shared_vs_random_basis,17,0.06296149467507026,0.0589261637379033,0.06660038154108716
shared_vs_random_basis,42,0.12459530995729028,0.12039968178446112,0.12859010499910717
shared_vs_random_basis,101,0.09425554591799212,0.08763472369822786,0.10018741090327091
shared_vs_generic_capacity,17,0.3826774110505611,0.3781570163032762,0.38703528789476443
shared_vs_generic_capacity,42,0.3516849826515701,0.34683676346080133,0.35655930759600657
shared_vs_generic_capacity,101,0.3173997192685971,0.3113309485669266,0.32351697007037616
organ_private_vs_pooled,17,0.30819399439419437,0.30415767538781313,0.3119475848966474
organ_private_vs_pooled,42,0.20424215643079235,0.2012811341188326,0.20719590927258133
organ_private_vs_pooled,101,0.26018958815812815,0.2566286086943845,0.26376500050383284
