seed_left,seed_right,component,donor_coefficient_pearson
17,42,0,0.38602019068502247
17,42,1,0.9091489046986894
17,42,2,0.6959704780858916
17,42,3,0.11848414113007016
17,42,4,0.6363228047927205
17,42,5,0.0771674896108513
17,42,6,0.7565584982007905
17,42,7,0.4590368273514531
17,42,8,-0.4115362166397227
17,42,9,0.8121083241138589
17,42,10,0.7879463664251645
17,42,11,0.6271887549753702
17,42,12,0.7668340405353109
17,42,13,0.5746545199910547
17,42,14,-0.1477064539055389
17,42,15,0.1242443959488267
17,42,16,0.9360714768760956
17,42,17,0.5774376632901804
17,42,18,0.8506859406303924
17,42,19,0.7757282053073611
17,42,20,0.8812371944290682
17,42,21,-0.13565190770505017
17,42,22,0.7236905736675509
17,42,23,0.30056103885231367
17,42,24,0.8039375276012544
17,42,25,0.7449307185244431
17,42,26,-0.004813398881034144
17,42,27,-0.5297906733753798
17,42,28,0.6057533523473516
17,42,29,0.7897131031777862
17,42,30,0.782904363394961
17,42,31,0.8956465183471702
17,101,0,0.298438573013304
17,101,1,0.8984777575837692
17,101,2,0.6566005148995848
17,101,3,0.26084806770614144
17,101,4,0.44030178530326847
17,101,5,-0.3426573150215697
17,101,6,0.7103448596128826
17,101,7,0.538450674985629
17,101,8,0.3821625531518943
17,101,9,0.37711017372366945
17,101,10,0.5792260351307625
17,101,11,0.13069352304092563
17,101,12,0.7610171616011933
17,101,13,0.4861089769901129
17,101,14,-0.3256045434596321
17,101,15,-0.0757022857912555
17,101,16,0.9115688191199455
17,101,17,0.6997612968536329
17,101,18,0.8687770965676181
17,101,19,0.8676716521445138
17,101,20,0.3748683426356771
17,101,21,0.5366317724151883
17,101,22,0.8367102436715769
17,101,23,0.7799145420547238
17,101,24,0.905349997724668
17,101,25,0.748402907558306
17,101,26,0.8166095957422077
17,101,27,0.5990881337475922
17,101,28,0.581586814708965
17,101,29,-0.11978922305945322
17,101,30,0.758194190660126
17,101,31,0.21031481307606775
42,101,0,0.9554475875318801
42,101,1,0.9741309548306178
42,101,2,0.8090993216597363
42,101,3,0.8854268052710267
42,101,4,0.9354618968695583
42,101,5,0.7188516818826524
42,101,6,0.965472375531473
42,101,7,0.8916390271240583
42,101,8,-0.14980784241671968
42,101,9,0.6481653352823614
42,101,10,0.9038341724803839
42,101,11,0.8319864439054226
42,101,12,0.9696583372903682
42,101,13,0.978926573675709
42,101,14,-0.004799930690223906
42,101,15,0.9283291226216918
42,101,16,0.9528505849581363
42,101,17,0.9101487725274896
42,101,18,0.965458842846733
42,101,19,0.9355781608770756
42,101,20,0.6328782901205057
42,101,21,0.005038378894053212
42,101,22,0.8350132105414354
42,101,23,0.6862962912833904
42,101,24,0.6885529170662251
42,101,25,0.32784355850504054
42,101,26,-0.03177901977170987
42,101,27,-0.9275448080568928
42,101,28,0.9784402199361233
42,101,29,0.3856782321024842
42,101,30,0.7943832752051727
42,101,31,0.5089586440630056
