seed,organ,relative_mse_reduction_vs_private_phase1
17,adipose,0.0473082108356731
17,brain,0.13005782141417455
17,colon,0.036043420202357554
17,heart,0.025930669596105297
17,liver,0.012594672249233257
17,lung,0.03444680824597512
17,skeletal_muscle,0.029086631823775615
17,skin,-0.0589002718726399
42,adipose,0.024189111169335725
42,brain,0.2668076122524216
42,colon,0.03545014034557037
42,heart,0.08954573252641981
42,liver,0.02549433039755245
42,lung,0.0024073050994445826
42,skeletal_muscle,0.04999839678932671
42,skin,-0.023071290580184787
101,adipose,-0.008542103937792436
101,brain,0.2841124323793466
101,colon,-0.004917521927888542
101,heart,0.024237994473807794
101,liver,0.2436053602036762
101,lung,0.019554411818357223
101,skeletal_muscle,0.017512881369511235
101,skin,-0.06478203580425045
