Gene name	Human gene name
mt-Nd1	MT-ND1
mt-Nd2	MT-ND2
mt-Co1	MT-CO1
mt-Co2	MT-CO2
mt-Atp8	MT-ATP8
mt-Atp6	MT-ATP6
mt-Co3	MT-CO3
mt-Nd3	MT-ND3
mt-Nd4l	MT-ND4L
mt-Nd4	MT-ND4
mt-Nd5	MT-ND5
mt-Nd6	MT-ND6
mt-Cytb	MT-CYB
Usp9y	USP9Y
Gm25565	RNU6-909P
Sry	SRY
Kdm5d	KDM5D
Ddx3y	DDX3Y
Uty	UTY
Gm22597	RNU6-169P
Gm54361	RN7SKP242
Dsg4	DSG4
Klhl14	KLHL14
Chsy3	CHSY3
Mir187	MIR187
Mir378a	MIR378A
Il17b	IL17B
Sft2d3	SFT2D3
Myo7b	MYO7B
Tslp	TSLP
Gm24384	RNU6-1106P
Onecut2	ONECUT2
Igip	IGIP
Mir122	MIR122
Pcdha1	PCDHA1
Pcdha5	PCDHA5
Pcdha9	PCDHA10
Cplx4	CPLX4
Mc4r	MC4R
Chmp1b	CHMP1B
Vma21	VMA21
Kctd16	KCTD16
Snora35	SNORA35
Mir448	MIR448
Gm54709	RN7SKP164
Gm54710	MIR544A
Fate1	FATE1
Cnga2	CNGA2
Gpr151	GPR151
Gabre	GABRE
Spink5	SPINK5
Magee2	MAGEE2
Gm22090	RNU6-904P
Lrch2	LRCH2
Spink14	SPINK14
Ccdc112	CCDC112
Gm54753	RNU6-83P
Magee1	MAGEE1
Ftmt	FTMT
Gm26438	Y_RNA
Gm23301	SNORD58A
Rnf113a1	RNF113B
Loxhd1	LOXHD1
Gm24491	RNU6-1147P
Rtl3	RTL3
Siglec15	SIGLEC15
Gm17266	C18orf63
Gm25797	RNU6-1227P
Pou3f4	POU3F4
Satl1	SATL1
Mir361	MIR361
Fzd8	FZD8
Gjd4	GJD4
Gm54493	RNU4-61P
Gm24624	RNU1-39P
Cpxcr1	CPXCR1
Gm25834	RNU6-493P
Mir145a	MIR145
Mir143	MIR143
Mc5r	MC5R
Marcol	MARCOL
Skor2	SKOR2
Actrt1	ACTRT1
Arl13a	ARL13A
Snora74a	SNORA74A
Prob1	PROB1
Foxr2	FOXR2
Gm22359	RNU6-1066P
Spink7	SPINK7
Bmp15	BMP15
Klhl34	KLHL34
Mir133a-1	MIR133A1
Mir1a-2	MIR1-2
Gpr119	GPR119
Asxl3	ASXL3
Mir500	MIR502
Mir501	MIR501
Mir188	MIR188
Mir532	MIR532
Usp27x	USP27X
Ccdc22	CCDC22
Cd14	CD14
Map3k15	MAP3K15
Pcdhb1	PCDHB1
Pcdhb2	PCDHB2
Pcdhb3	PCDHB3
Mir363	MIR363
Mir19b-2	MIR19B2
Pcdhb13	PCDHB6
Pcdhb15	PCDHB7
Pcdhb16	PCDHB13
Pcdhb17	PCDHB16
Pcdhb20	PCDHB14
Gm54832	RN7SKP192
Pcdhb22	PCDHB15
Slc25a2	SLC25A2
Or13ae2	OR13H1
Frmpd3	FRMPD3
Gm23199	RNU6-196P
Gm25023	RNU6-29P
Gm25851	RNU6-112P
Col4a6	COL4A6
Irs4	IRS4
Gm26111	RNU6-842P
Gm23000	RNU1-117P
Mir652	MIR652
Gm55142	RNU6-578P
Gm55172	RNU6-260P
Gm22062	RNU6-441P
Rtl4	RTL4
H2ap	H2AP
Sytl5	SYTL5
Zc3h12b	ZC3H12B
Mir223	MIR223
Otud6a	OTUD6A
Dgat2l6	DGAT2L6
Awat1	AWAT1
P2ry4	P2RY4
Dusp21	DUSP21
Dipk2b	DIPK2B
Gm26131	RNU6-652P
Rtl5	RTL5
Cylc1	CYLC1
Ccnb3	CCNB3
Dgkk	DGKK
Vsig1	VSIG1
Sox3	SOX3
Gm715	HAPSTR2
Gm55604	RN7SKP71
Mir504	MIR504
Sowahd	SOWAHD
Mir450b	MIR450B
Mir450-1	MIR450A1
Mir450-2	MIR450A2
Mir542	MIR542
Mir322	MIR424
Ubqln2	UBQLN2
Bhlhb9	GPRASP3
Gm25107	SNORA35B
Gm54807	RN7SKP234
Brs3	BRS3
Snord61	SNORD61
Gpr101	GPR101
Gm22364	RNU6-78P
Gm25061	RNU6-636P
Mirlet7f-2	MIRLET7F2
Mir98	MIR98
Pnma5	PNMA5
Pnma3	PNMA3
Gm24061	SNORA72
Kcne5	KCNE5
Rtl9	RTL9
Ccdc120	CCDC120
Kcnd1	KCND1
Asmt	ASMT
Mir505	MIR505
Gm7073	CXorf66
Tex28	TEX28
Esx1	ESX1
Gm23461	RNU6-653P
Wnk3	WNK3
Gm24263	RNU6-806P
Pabir1	PABIR1
Gm25176	RNU4-59P
Sts	STS
Adrb1	ADRB1
Catsper1	CATSPER1
Vwa2	VWA2
Tsga10ip	TSGA10IP
Fosl1	FOSL1
Nscme3l	NSMCE3
Ovol1	OVOL1
Kcnk18	KCNK18
Emx2	EMX2
Nanos1	NANOS1
Ranbp6	RANBP6
Trpd52l3	TPD52L3
Dkk1	DKK1
Cstf2t	CSTF2T
Gm61610	RBBP8P1
Lipf	LIPF
Ankrd22	ANKRD22
Ch25h	CH25H
Pde6c	PDE6C
Gm22351	RNU6-537P
Cxcr3	CXCR3
Phex	PHEX
Frat2	FRAT2
Gm23113	RNU6-1135P
4933411K16Rik	C10orf62
Hpse2	HPSE2
Nkx2-3	NKX2-3
Gm24336	SNORA12
Lrrc10b	LRRC10B
Pkd2l1	PKD2L1
Vwce	VWCE
Zp1	ZP1
Ptgdr2	PTGDR2
Hps6	HPS6
Or5b21	OR5B21
Or9q2	OR9Q2
Calhm1	CALHM1
Calhm3	CALHM3
Col17a1	COL17A1
Mir204	MIR204
Cabp4	CABP4
Gpr152	GPR152
Znhit2	ZNHIT2
Gm55610	RNU6-946P
Or5b99	OR5B2
Gm22443	RNU6-629P
Sfrp5	SFRP5
Snora57	SNORA57
Plpp6	PLPP6
Rnls	RNLS
Rom1	ROM1
Ms4a18	MS4A18
Ms4a8a	MS4A8
Ms4a14	MS4A14
1810009A15Rik	C11orf98
Ccdc87	CCDC87
Gm54401	RNU6-155P
Cd248	CD248
Fhip2a	FHIP2A
Gm54579	RN7SKP33
Vax1	VAX1
Kcnv2	KCNV2
Krtap8-1	KRTAP8-1
Krtap7-1	KRTAP7-1
Krtap11-1	KRTAP11-1
Mir484	MIR484
Btnl12	BTN3A1
Drd3	DRD3
Cebpd	CEBPD
Slc9c1	SLC9C1
Gm54503	RN7SKP53
Zpld1	ZPLD1
