gene_symbol,exon_length
5S_rRNA,1021
5_8S_rRNA,911
7SK,1870
A1BG,3399
A1BG-AS1,2793
A1CF,15515
A2M,4969
A2M-AS1,2930
A2ML1,5298
A2ML1-AS1,452
A2ML1-AS2,386
A2MP1,4383
A3GALT2,1023
A4GALT,7800
A4GNT,2591
AA06,1241
AAAS,2904
AACS,3344
AACSP1,3372
AADAC,2350
AADACL2,5060
AADACL2-AS1,1040
AADACL3,4055
AADACL4,2027
AADACP1,1837
AADAT,3023
AAGAB,3430
AAK1,22976
AAMDC,6077
AAMP,2011
AANAT,2332
AAR2,4937
AARD,2291
AARS1,4481
AARS1P1,453
AARS2,4848
AARSD1,1468
AARSD1P1,1182
AASDH,4427
AASDHPPT,2828
AASDHPPT-AS1,1247
AASS,6306
AATBC,4874
AATF,3033
AATK,12318
ABALON,1903
ABAT,6196
ABCA1,11251
ABCA10,6362
ABCA11P,2374
ABCA12,9614
ABCA13,17188
ABCA15P,556
ABCA17P,5864
ABCA2,8316
ABCA3,7951
ABCA3P1,637
ABCA4,7657
ABCA5,9593
ABCA6,11024
ABCA7,6815
ABCA8,7404
ABCA9,6951
ABCA9-AS1,1396
ABCB1,6046
ABCB10,4170
ABCB10P1,2181
ABCB10P3,2166
ABCB10P4,2184
ABCB11,6976
ABCB4,4846
ABCB5,7436
ABCB6,3064
ABCB7,4610
ABCB8,5299
ABCB9,7161
ABCC1,6965
ABCC10,5590
ABCC11,6272
ABCC12,7877
ABCC13,8082
ABCC2,6155
ABCC3,7196
ABCC4,6661
ABCC5,10696
ABCC5-AS1,469
ABCC6,6104
ABCC6P1,4639
ABCC6P2,3308
ABCC8,5404
ABCC9,13795
ABCD1,4908
ABCD1P2,1601
ABCD1P3,605
ABCD1P4,604
ABCD1P5,754
ABCD2,6290
ABCD3,4163
ABCD4,3320
ABCE1,3977
ABCF1,3555
ABCF2,5035
ABCF2-H2BK1,2185
ABCF2P1,1867
ABCF2P2,296
ABCF3,2641
ABCG1,11770
ABCG2,6845
ABCG4,4046
ABCG5,2786
ABCG8,7768
ABHD1,1470
ABHD10,2851
ABHD11,1610
ABHD12,3056
ABHD12B,1815
ABHD13,5887
ABHD14A,1395
ABHD14A-ACY1,1705
ABHD14B,3994
ABHD15,3492
ABHD15-AS1,187
ABHD16A,2599
ABHD16B,1491
ABHD17A,5137
ABHD17AP1,933
ABHD17AP3,1137
ABHD17AP4,909
ABHD17AP5,923
ABHD17AP6,1044
ABHD17AP7,595
ABHD17AP8,574
ABHD17AP9,548
ABHD17B,4574
ABHD17C,2452
ABHD18,7073
ABHD2,11425
ABHD3,2683
ABHD4,3210
ABHD5,6264
ABHD6,4527
ABHD8,2131
ABI1,4437
ABI1P1,1120
ABI2,22379
ABI3,1946
ABI3BP,7509
ABITRAM,2143
ABITRAMP1,541
ABL1,7006
ABL2,12361
ABLIM1,9005
ABLIM2,5288
ABLIM3,6336
ABO,1914
ABR,7101
ABR-AS1,1816
ABRA,2754
ABRACL,3931
ABRAXAS1,6168
ABRAXAS1P1,1201
ABRAXAS1P2,1119
ABRAXAS2,3377
ABT1,2943
ABT1P1,821
ABTB1,2328
ABTB2,4905
ABTB3,7867
ACAA1,3667
ACAA2,3710
ACAA2P1,978
ACACA,11072
ACACB,9451
ACAD10,5701
ACAD11,4067
ACAD8,2587
ACAD9,4262
ACAD9-DT,8060
ACADL,2515
ACADM,4430
ACADS,2028
ACADSB,5882
ACADVL,2687
ACAN,10750
ACAP1,4129
ACAP2,7864
ACAP2-IT1,690
ACAP3,4318
ACAT1,4130
ACAT2,2344
ACBD3,3629
ACBD3-AS1,913
ACBD4,3041
ACBD5,10054
ACBD6,6000
ACBD7,3370
ACCS,2509
ACCSL,1820
ACCSLP1,1203
ACD,2096
ACE,5392
