gene_symbol,exon_length
0610005C13Rik,3265
0610006L08Rik,2386
0610009E02Rik,2812
0610009K14Rik,893
0610009L18Rik,1581
0610012D04Rik,531
0610025J13Rik,2795
0610030E20Rik,4605
0610031O16Rik,1966
0610033M10Rik,1450
0610038B21Rik,4328
0610039G09Rik,2488
0610039H22Rik,777
0610039K10Rik,1038
0610040B10Rik,3636
0610040F04Rik,4972
0610043K17Rik,3103
0710001A04Rik,1345
1010001B22Rik,1433
1100001I12Rik,1301
1110002E22Rik,9741
1110002J07Rik,2584
1110002L01Rik,5328
1110002O04Rik,971
1110003F10Rik,767
1110004F10Rik,1479
1110006O24Rik,825
1110008E08Rik,723
1110015O18Rik,2861
1110018N20Rik,2125
1110019B22Rik,2145
1110019D14Rik,5622
1110020A21Rik,1987
1110025M09Rik,855
1110028F11Rik,1327
1110028F18Rik,1826
1110032F04Rik,2578
1110035H17Rik,1241
1110038B12Rik,2462
1110038F14Rik,1377
1110046J04Rik,3848
1110058D11Rik,3054
1110059E24Rik,2511
1110059G10Rik,3361
1110060G06Rik,499
1110065P20Rik,1395
1190001M18Rik,1270
1190005I06Rik,957
1190028D05Rik,2720
1200007C13Rik,2455
1300002E11Rik,4143
1300014J16Rik,5236
1500002C15Rik,2970
1500002F19Rik,3184
1500004A13Rik,14318
1500004F05Rik,663
1500005C15Rik,2394
1500009L16Rik,1194
1500012K07Rik,2852
1500015A07Rik,2321
1500015L24Rik,4312
1500026H17Rik,3793
1500032F14Rik,2963
1500035N22Rik,2168
1600002D24Rik,4181
1600010M07Rik,1688
1600012H06Rik,2571
1600012P17Rik,2475
1600014C10Rik,3948
1600014C23Rik,518
1600015H23Rik,1034
1600017P15Rik,890
1600019K03Rik,486
1600020E01Rik,5813
1600022D10Rik,2353
1600023N17Rik,1007
1600025M17Rik,547
1600027J07Rik,1477
1600029O15Rik,1809
1700001D01Rik,565
1700001F09Rik,884
1700001G01Rik,3726
1700001G11Rik,2636
1700001G17Rik,1264
1700001J03Rik,787
1700001J04Rik,1304
1700001K19Rik,955
1700001K23Rik,3412
1700001L05Rik,6367
1700001N15Rik,482
1700001O22Rik,1672
1700003C15Rik,2060
1700003D09Rik,243
1700003E16Rik,2221
1700003E24Rik,640
1700003F12Rik,743
1700003G18Rik,1422
1700003H04Rik,1398
1700003I16Rik,1058
1700003I22Rik,1831
1700003L19Rik,4411
1700003M07Rik,5892
1700003N22Rik,808
1700003O11Rik,708
1700003P14Rik,2395
1700006A11Rik,2161
1700006F04Rik,511
1700006H21Rik,2030
1700006J14Rik,3925
1700006P03Rik,409
1700007E05Rik,1499
1700007F19Rik,7831
1700007H22Rik,1342
1700007J10Rik,1558
1700007J24Rik,987
1700007L15Rik,2114
1700007P06Rik,2068
1700008A07Rik,647
1700008A23Rik,691
1700008B11Rik,675
1700008C04Rik,1813
1700008F19Rik,2783
1700008H02Rik,1684
1700008J07Rik,2453
1700008K24Rik,894
1700008N11Rik,1194
1700008O03Rik,1174
1700008P02Rik,821
1700009C05Rik,2072
1700009J07Rik,1421
1700009N14Rik,1258
1700010B08Rik,1019
1700010B13Rik,1620
1700010D01Rik,507
1700010G06Rik,698
1700010H22Rik,1396
1700010I02Rik,1162
1700010I14Rik,1878
1700010J16Rik,1485
1700010K23Rik,552
1700010K24Rik,269
1700010L04Rik,3605
1700010L13Rik,637
1700010N08Rik,189
1700011B04Rik,4331
