gsm,series_id,organism_ch1,title,source_name_ch1,characteristics_ch1,platform_id,library_strategy,library_source,instrument_model,molecule_ch1,submission_date,singlecellprobability,metadata_archs4_file,archs4_version,split,study_exposure,species
GSM7469191,GSE234465,Homo sapiens,GC-YA-NOES-1,"YA myobundles, ground control, Day18","tissue: Skeletal muscle,cell line: Enriched CD56+ myoblasts,cell type: Wild type ( cell line),biorep: rep1,treatment: Earth control (Non EStim)",GPL24676,RNA-Seq,transcriptomic,Illumina NovaSeq 6000,total RNA,Jun 08 2023,0.012562064595872675,human_gene_v2.5.h5,2.5,unseen,unseen_study,human
GSM7469192,GSE234465,Homo sapiens,GC-YA-NOES-2,"YA myobundles, ground control, Day18","tissue: Skeletal muscle,cell line: Enriched CD56+ myoblasts,cell type: Wild type ( cell line),biorep: rep2,treatment: Earth control (Non EStim)",GPL24676,RNA-Seq,transcriptomic,Illumina NovaSeq 6000,total RNA,Jun 08 2023,0.016842459705595253,human_gene_v2.5.h5,2.5,unseen,unseen_study,human
GSM7469193,GSE234465,Homo sapiens,GC-YA-NOES-3,"YA myobundles, ground control, Day18","tissue: Skeletal muscle,cell line: Enriched CD56+ myoblasts,cell type: Wild type ( cell line),biorep: rep3,treatment: Earth control (Non EStim)",GPL24676,RNA-Seq,transcriptomic,Illumina NovaSeq 6000,total RNA,Jun 08 2023,0.0,human_gene_v2.5.h5,2.5,unseen,unseen_study,human
GSM7469194,GSE234465,Homo sapiens,GC-OS-NOES-1,"OS myobundles, ground control, Day18","tissue: Skeletal muscle,cell line: Enriched CD56+ myoblasts,cell type: Wild type ( cell line),biorep: rep1,treatment: Earth control (Non EStim)",GPL24676,RNA-Seq,transcriptomic,Illumina NovaSeq 6000,total RNA,Jun 08 2023,0.018041792929112014,human_gene_v2.5.h5,2.5,unseen,unseen_study,human
GSM7469195,GSE234465,Homo sapiens,GC-OS-NOES-2,"OS myobundles, ground control, Day18","tissue: Skeletal muscle,cell line: Enriched CD56+ myoblasts,cell type: Wild type ( cell line),biorep: rep2,treatment: Earth control (Non EStim)",GPL24676,RNA-Seq,transcriptomic,Illumina NovaSeq 6000,total RNA,Jun 08 2023,0.005298322031699198,human_gene_v2.5.h5,2.5,unseen,unseen_study,human
GSM7469196,GSE234465,Homo sapiens,GC-OS-NOES-3,"OS myobundles, ground control, Day18","tissue: Skeletal muscle,cell line: Enriched CD56+ myoblasts,cell type: Wild type ( cell line),biorep: rep3,treatment: Earth control (Non EStim)",GPL24676,RNA-Seq,transcriptomic,Illumina NovaSeq 6000,total RNA,Jun 08 2023,0.03792671392045009,human_gene_v2.5.h5,2.5,unseen,unseen_study,human
GSM7469197,GSE234465,Homo sapiens,YA-NOES-1,"YA myobundles, SpX21 flight, Day18","tissue: Skeletal muscle,cell line: Enriched CD56+ myoblasts,cell type: Wild type ( cell line),biorep: rep1,treatment: Exposed to microgravity (Non EStim)",GPL24676,RNA-Seq,transcriptomic,Illumina NovaSeq 6000,total RNA,Jun 08 2023,0.006693374231241698,human_gene_v2.5.h5,2.5,unseen,unseen_study,human
GSM7469198,GSE234465,Homo sapiens,YA-NOES-2,"YA myobundles, SpX21 flight, Day18","tissue: Skeletal muscle,cell line: Enriched CD56+ myoblasts,cell type: Wild type ( cell line),biorep: rep2,treatment: Exposed to microgravity (Non EStim)",GPL24676,RNA-Seq,transcriptomic,Illumina NovaSeq 6000,total RNA,Jun 08 2023,0.0048122856692107245,human_gene_v2.5.h5,2.5,unseen,unseen_study,human
GSM7469199,GSE234465,Homo sapiens,YA-NOES-3,"YA myobundles, SpX21 flight, Day18","tissue: Skeletal muscle,cell line: Enriched CD56+ myoblasts,cell type: Wild type ( cell line),biorep: rep3,treatment: Exposed to microgravity (Non EStim)",GPL24676,RNA-Seq,transcriptomic,Illumina NovaSeq 6000,total RNA,Jun 08 2023,0.0,human_gene_v2.5.h5,2.5,unseen,unseen_study,human
GSM7469200,GSE234465,Homo sapiens,OS-NOES-1,"OS myobundles, SpX21 flight, Day18","tissue: Skeletal muscle,cell line: Enriched CD56+ myoblasts,cell type: Wild type ( cell line),biorep: rep1,treatment: Exposed to microgravity (Non EStim)",GPL24676,RNA-Seq,transcriptomic,Illumina NovaSeq 6000,total RNA,Jun 08 2023,0.004747009306237682,human_gene_v2.5.h5,2.5,unseen,unseen_study,human
GSM7469201,GSE234465,Homo sapiens,OS-NOES-2,"OS myobundles, SpX21 flight, Day18","tissue: Skeletal muscle,cell line: Enriched CD56+ myoblasts,cell type: Wild type ( cell line),biorep: rep2,treatment: Exposed to microgravity (Non EStim)",GPL24676,RNA-Seq,transcriptomic,Illumina NovaSeq 6000,total RNA,Jun 08 2023,0.005298322031699198,human_gene_v2.5.h5,2.5,unseen,unseen_study,human
GSM7469202,GSE234465,Homo sapiens,OS-NOES-3,"OS myobundles, SpX21 flight, Day18","tissue: Skeletal muscle,cell line: Enriched CD56+ myoblasts,cell type: Wild type ( cell line),biorep: rep3,treatment: Exposed to microgravity (Non EStim)",GPL24676,RNA-Seq,transcriptomic,Illumina NovaSeq 6000,total RNA,Jun 08 2023,0.0037686715533226823,human_gene_v2.5.h5,2.5,unseen,unseen_study,human
